"No.","Flight Date","Flight No.","Airport","Route","Paying Pax","Non-Paying Pax","Total Pax","PSC (IDR)"
"1","2017-02-18","GA 270","KNO","KNO - BTH (Domestic)","55","2","57","4.125.000"
"2","2017-02-18","GA 123","KNO","KNO - CGK (Domestic)","108","0","108","8.100.000"
"3","2017-02-18","GA 197","KNO","KNO - CGK (Domestic)","129","2","131","9.675.000"
"4","2017-02-18","GA 195","KNO","KNO - CGK (Domestic)","61","1","62","4.575.000"
"5","2017-02-18","GA 193","KNO","KNO - CGK (Domestic)","74","3","77","5.550.000"
"6","2017-02-18","GA 191","KNO","KNO - CGK (Domestic)","153","5","158","11.475.000"
"7","2017-02-18","GA 189","KNO","KNO - CGK (Domestic)","132","3","135","9.900.000"
"8","2017-02-18","GA 187","KNO","KNO - CGK (Domestic)","139","9","148","10.425.000"
"9","2017-02-18","GA 183","KNO","KNO - CGK (Domestic)","114","1","115","8.550.000"
"10","2017-02-18","GA 181","KNO","KNO - CGK (Domestic)","95","2","97","7.125.000"
"11","2017-02-18","GA 7136","KNO","KNO - DTB (Domestic)","24","2","26","1.800.000"
"12","2017-02-18","GA 7134","KNO","KNO - FLZ (Domestic)","46","5","51","3.450.000"
"13","2017-02-18","GA 7118","KNO","KNO - GNS (Domestic)","48","18","66","3.600.000"
"14","2017-02-18","GA 7116","KNO","KNO - GNS (Domestic)","40","0","40","3.000.000"
"15","2017-02-18","GA 266","KNO","KNO - PLM (Domestic)","34","1","35","2.550.000"
"16","2017-02-18","GA 850","KNO","KNO - SIN (International)","39","3","42","7.800.000"
"Total"," "," "," "," ","1.291","57","1.348","101.700.000"
