"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-02-05,"GA 270",KNO-BTH,"58 ",6,64
2017-02-05,"GA 270",KNO-BTH,"58 ",6,64
2017-02-05,"GA 121",KNO-CGK,"155 ",10,165
2017-02-05,"GA 121",KNO-CGK,"155 ",10,165
2017-02-05,"GA 197",KNO-CGK,"130 ",2,132
2017-02-05,"GA 197",KNO-CGK,"130 ",2,132
2017-02-05,"GA 195",KNO-CGK,"124 ",6,130
2017-02-05,"GA 195",KNO-CGK,"124 ",6,130
2017-02-05,"GA 193",KNO-CGK,"150 ",7,157
2017-02-05,"GA 193",KNO-CGK,"150 ",7,157
2017-02-05,"GA 191",KNO-CGK,"156 ",4,160
2017-02-05,"GA 191",KNO-CGK,"156 ",4,160
2017-02-05,"GA 189",KNO-CGK,"150 ",15,165
2017-02-05,"GA 189",KNO-CGK,"150 ",15,165
2017-02-05,"GA 187",KNO-CGK,"134 ",6,140
2017-02-05,"GA 187",KNO-CGK,"134 ",6,140
2017-02-05,"GA 123",KNO-CGK,"101 ",11,112
2017-02-05,"GA 123",KNO-CGK,"101 ",11,112
2017-02-05,"GA 181",KNO-CGK,"101 ",2,103
2017-02-05,"GA 181",KNO-CGK,"101 ",2,103
2017-02-05,"GA 183",KNO-CGK,"94 ",8,102
2017-02-05,"GA 183",KNO-CGK,"94 ",8,102
2017-02-05,"GA 185",KNO-CGK,"118 ",11,129
2017-02-05,"GA 185",KNO-CGK,"118 ",11,129
2017-02-05,"GA 7136",KNO-DTB,"27 ",2,29
2017-02-05,"GA 7136",KNO-DTB,"27 ",2,29
2017-02-05,"GA 7116",KNO-GNS,"39 ",0,39
2017-02-05,"GA 7116",KNO-GNS,"39 ",0,39
2017-02-05,"GA 7118",KNO-GNS,"45 ",11,56
2017-02-05,"GA 7118",KNO-GNS,"45 ",11,56
2017-02-05,"GA 7124",KNO-LSW,"20 ",46,66
2017-02-05,"GA 7124",KNO-LSW,"20 ",46,66
2017-02-05,"GA 266",KNO-PLM,"69 ",0,69
2017-02-05,"GA 266",KNO-PLM,"69 ",0,69
2017-02-05,"GA 7112",KNO-SBG,"7 ",0,7
2017-02-05,"GA 7112",KNO-SBG,"7 ",0,7
