"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-03-09,"GA 501","PNK-CGK","67 ",1,68
2017-03-09,"GA 515","PNK-CGK","71 ",15,86
2017-03-09,"GA 513","PNK-CGK","61 ",23,84
2017-03-09,"GA 511","PNK-CGK","36 ",1,37
2017-03-09,"GA 507","PNK-CGK","64 ",7,71
2017-03-09,"GA 505","PNK-CGK","70 ",2,72
2017-03-09,"GA 503","PNK-CGK","95 ",1,96
2017-03-09,"GA 7528","PNK-KTG","18 ",2,20
2017-03-09,"GA 7532","PNK-KTG","8 ",7,15
2017-03-09,"GA 7536","PNK-KTG","26 ",9,35
2017-03-09,"GA 7523","PNK-PKY","37 ",8,45
2017-03-09,"GA 7524","PNK-PSU","32 ",7,39
2017-03-09,"GA 7534","PNK-SQG","24 ",16,40
