"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-04-15,"GA 270","KNO-BTH
(Domestic)","27 ",0,27
2017-04-15,"GA 121","KNO-CGK
(Domestic)","78 ",1,79
2017-04-15,"GA 197","KNO-CGK
(Domestic)","71 ",4,75
2017-04-15,"GA 195","KNO-CGK
(Domestic)","42 ",1,43
2017-04-15,"GA 193","KNO-CGK
(Domestic)","77 ",12,89
2017-04-15,"GA 189","KNO-CGK
(Domestic)","89 ",1,90
2017-04-15,"GA 187","KNO-CGK
(Domestic)","76 ",8,84
2017-04-15,"GA 183","KNO-CGK
(Domestic)","44 ",1,45
2017-04-15,"GA 181","KNO-CGK
(Domestic)","39 ",1,40
2017-04-15,"GA 123","KNO-CGK
(Domestic)","24 ",0,24
2017-04-15,"GA 7136","KNO-DTB
(Domestic)","34 ",5,39
2017-04-15,"GA 7116","KNO-GNS
(Domestic)","41 ",4,45
2017-04-15,"GA 266","KNO-PLM
(Domestic)","25 ",2,27
2017-04-15,"MH 861","KNO-KUL
(International)","139 ",2,141
2017-04-15,"MH 865","KNO-KUL
(International)","116 ",0,116
2017-04-15,"MI 233","KNO-SIN
(International)","128 ",1,129
2017-04-15,"MI 237","KNO-SIN
(International)","132 ",1,133
