"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-04-09,"GA 501","PNK-CGK","65 ",1,66
2017-04-09,"GA 515","PNK-CGK","90 ",11,101
2017-04-09,"GA 513","PNK-CGK","113 ",15,128
2017-04-09,"GA 511","PNK-CGK","39 ",1,40
2017-04-09,"GA 507","PNK-CGK","89 ",6,95
2017-04-09,"GA 505","PNK-CGK","93 ",3,96
2017-04-09,"GA 503","PNK-CGK","89 ",0,89
2017-04-09,"GA 7532","PNK-KTG","45 ",22,67
2017-04-09,"GA 7523","PNK-PKY","30 ",3,33
2017-04-09,"GA 7524","PNK-PSU","59 ",11,70
2017-04-09,"GA 7534","PNK-SQG","16 ",13,29
