"No.","Flight Date","Flight No.","Airport","Route","Paying Pax","Non-Paying Pax","Total Pax","PSC (IDR)"
"1","2017-03-30","GA 648","CGK3","CGK3 - ? (Domestic)","101","7","108","13.130.000"
"2","2017-03-30","GA 646","CGK3","CGK3 - AMQ (Domestic)","72","7","79","9.360.000"
"3","2017-03-30","GA 538","CGK3","CGK3 - BDJ (Domestic)","56","5","61","7.280.000"
"4","2017-03-30","GA 536","CGK3","CGK3 - BDJ (Domestic)","85","9","94","11.050.000"
"5","2017-03-30","GA 530","CGK3","CGK3 - BDJ (Domestic)","115","1","116","14.950.000"
"6","2017-03-30","GA 534","CGK3","CGK3 - BDJ (Domestic)","110","13","123","14.300.000"
"7","2017-03-30","GA 532","CGK3","CGK3 - BDJ (Domestic)","125","4","129","16.250.000"
"8","2017-03-30","GA 296","CGK3","CGK3 - BKS (Domestic)","107","1","108","13.910.000"
"9","2017-03-30","GA 298","CGK3","CGK3 - BKS (Domestic)","96","46","142","12.480.000"
"10","2017-03-30","GA 576","CGK3","CGK3 - BPN (Domestic)","78","6","84","10.140.000"
"11","2017-03-30","GA 8022","CGK3","CGK3 - BPN (Domestic)","54","5","59","7.020.000"
"12","2017-03-30","GA 572","CGK3","CGK3 - BPN (Domestic)","96","10","106","12.480.000"
"13","2017-03-30","GA 570","CGK3","CGK3 - BPN (Domestic)","101","14","115","13.130.000"
"14","2017-03-30","GA 568","CGK3","CGK3 - BPN (Domestic)","86","11","97","11.180.000"
"15","2017-03-30","GA 564","CGK3","CGK3 - BPN (Domestic)","77","13","90","10.010.000"
"16","2017-03-30","GA 562","CGK3","CGK3 - BPN (Domestic)","104","2","106","13.520.000"
"17","2017-03-30","GA 560","CGK3","CGK3 - BPN (Domestic)","98","1","99","12.740.000"
"18","2017-03-30","GA 152","CGK3","CGK3 - BTH (Domestic)","154","6","160","20.020.000"
"19","2017-03-30","GA 154","CGK3","CGK3 - BTH (Domestic)","146","8","154","18.980.000"
"20","2017-03-30","GA 150","CGK3","CGK3 - BTH (Domestic)","154","2","156","20.020.000"
"21","2017-03-30","GA 156","CGK3","CGK3 - BTH (Domestic)","125","25","150","16.250.000"
"22","2017-03-30","GA 158","CGK3","CGK3 - BTH (Domestic)","137","10","147","17.810.000"
"23","2017-03-30","GA 142","CGK3","CGK3 - BTJ (Domestic)","84","23","107","10.920.000"
"24","2017-03-30","GA 146","CGK3","CGK3 - BTJ (Domestic)","76","15","91","9.880.000"
"25","2017-03-30","GA 140","CGK3","CGK3 - BTJ (Domestic)","109","2","111","14.170.000"
"26","2017-03-30","GA 134","CGK3","CGK3 - DJB (Domestic)","68","24","92","8.840.000"
"27","2017-03-30","GA 128","CGK3","CGK3 - DJB (Domestic)","45","23","68","5.850.000"
"28","2017-03-30","GA 130","CGK3","CGK3 - DJB (Domestic)","85","0","85","11.050.000"
"29","2017-03-30","GA 132","CGK3","CGK3 - DJB (Domestic)","133","23","156","17.290.000"
"30","2017-03-30","GA 656","CGK3","CGK3 - DJJ (Domestic)","95","16","111","12.350.000"
"31","2017-03-30","GA 422","CGK3","CGK3 - DPS (Domestic)","153","6","159","19.890.000"
"32","2017-03-30","GA 420","CGK3","CGK3 - DPS (Domestic)","84","6","90","10.920.000"
"33","2017-03-30","GA 410","CGK3","CGK3 - DPS (Domestic)","153","14","167","19.890.000"
"34","2017-03-30","GA 408","CGK3","CGK3 - DPS (Domestic)","118","16","134","15.340.000"
"35","2017-03-30","GA 402","CGK3","CGK3 - DPS (Domestic)","219","4","223","28.470.000"
"36","2017-03-30","GA 652","CGK3","CGK3 - DPS (Domestic)","111","11","122","14.430.000"
"37","2017-03-30","GA 412","CGK3","CGK3 - DPS (Domestic)","165","9","174","21.450.000"
"38","2017-03-30","GA 400","CGK3","CGK3 - DPS (Domestic)","148","5","153","19.240.000"
"39","2017-03-30","GA 414","CGK3","CGK3 - DPS (Domestic)","97","15","112","12.610.000"
"40","2017-03-30","GA 418","CGK3","CGK3 - DPS (Domestic)","214","4","218","26.000.000"
"41","2017-03-30","GA 424","CGK3","CGK3 - DPS (Domestic)","62","4","66","8.060.000"
"42","2017-03-30","GA 426","CGK3","CGK3 - DPS (Domestic)","182","16","198","23.660.000"
"43","2017-03-30","GA 438","CGK3","CGK3 - DPS (Domestic)","118","0","118","15.340.000"
"44","2017-03-30","GA 404","CGK3","CGK3 - DPS (Domestic)","125","8","133","16.250.000"
"45","2017-03-30","GA 268","CGK3","CGK3 - DTB (Domestic)","61","6","67","7.930.000"
"46","2017-03-30","GA 262","CGK3","CGK3 - FLZ (Domestic)","61","6","67","7.930.000"
"47","2017-03-30","GA 218","CGK3","CGK3 - JOG (Domestic)","130","11","141","16.900.000"
"48","2017-03-30","GA 216","CGK3","CGK3 - JOG (Domestic)","106","22","128","13.780.000"
"49","2017-03-30","GA 212","CGK3","CGK3 - JOG (Domestic)","78","20","98","10.140.000"
"50","2017-03-30","GA 210","CGK3","CGK3 - JOG (Domestic)","55","9","64","7.150.000"
"51","2017-03-30","GA 208","CGK3","CGK3 - JOG (Domestic)","65","16","81","8.450.000"
"52","2017-03-30","GA 206","CGK3","CGK3 - JOG (Domestic)","124","10","134","16.120.000"
"53","2017-03-30","GA 204","CGK3","CGK3 - JOG (Domestic)","144","1","145","18.720.000"
"54","2017-03-30","GA 202","CGK3","CGK3 - JOG (Domestic)","143","2","145","60.000"
"55","2017-03-30","GA 214","CGK3","CGK3 - JOG (Domestic)","132","11","143","17.160.000"
"56","2017-03-30","GA 122","CGK3","CGK3 - KNO (Domestic)","108","15","123","14.040.000"
"57","2017-03-30","GA 186","CGK3","CGK3 - KNO (Domestic)","137","10","147","60.000"
"58","2017-03-30","GA 118","CGK3","CGK3 - KNO (Domestic)","101","22","123","120.000"
"59","2017-03-30","GA 180","CGK3","CGK3 - KNO (Domestic)","146","0","146","18.980.000"
"60","2017-03-30","GA 182","CGK3","CGK3 - KNO (Domestic)","144","8","152","18.720.000"
"61","2017-03-30","GA 184","CGK3","CGK3 - KNO (Domestic)","135","13","148","180.000"
"62","2017-03-30","GA 188","CGK3","CGK3 - KNO (Domestic)","120","8","128","15.600.000"
"63","2017-03-30","GA 190","CGK3","CGK3 - KNO (Domestic)","120","25","145","120.000"
"64","2017-03-30","GA 194","CGK3","CGK3 - KNO (Domestic)","149","0","149","19.370.000"
"65","2017-03-30","GA 196","CGK3","CGK3 - KNO (Domestic)","103","35","138","60.000"
"66","2017-03-30","GA 192","CGK3","CGK3 - KNO (Domestic)","133","24","157","17.290.000"
"67","2017-03-30","GA 456","CGK3","CGK3 - KOE (Domestic)","37","0","37","4.810.000"
"68","2017-03-30","GA 452","CGK3","CGK3 - LBJ (Domestic)","55","3","58","7.150.000"
"69","2017-03-30","GA 430","CGK3","CGK3 - LOP (Domestic)","105","20","125","13.650.000"
"70","2017-03-30","GA 432","CGK3","CGK3 - LOP (Domestic)","65","10","75","8.450.000"
"71","2017-03-30","GA 440","CGK3","CGK3 - LOP (Domestic)","81","23","104","10.530.000"
"72","2017-03-30","GA 434","CGK3","CGK3 - LOP (Domestic)","149","0","149","19.370.000"
"73","2017-03-30","GA 626","CGK3","CGK3 - MDC (Domestic)","90","12","102","11.700.000"
"74","2017-03-30","GA 606","CGK3","CGK3 - MDC (Domestic)","99","8","107","12.870.000"
"75","2017-03-30","GA 602","CGK3","CGK3 - MDC (Domestic)","125","0","125","16.250.000"
"76","2017-03-30","GA 600","CGK3","CGK3 - MDC (Domestic)","81","8","89","10.530.000"
"77","2017-03-30","GA 292","CGK3","CGK3 - MLG (Domestic)","130","20","150","16.900.000"
"78","2017-03-30","GA 290","CGK3","CGK3 - MLG (Domestic)","145","5","150","18.850.000"
"79","2017-03-30","GA 168","CGK3","CGK3 - PDG (Domestic)","77","16","93","120.000"
"80","2017-03-30","GA 166","CGK3","CGK3 - PDG (Domestic)","67","18","85","8.710.000"
"81","2017-03-30","GA 164","CGK3","CGK3 - PDG (Domestic)","116","11","127","15.080.000"
"82","2017-03-30","GA 162","CGK3","CGK3 - PDG (Domestic)","70","57","127","9.100.000"
"83","2017-03-30","GA 160","CGK3","CGK3 - PDG (Domestic)","123","4","127","15.990.000"
"84","2017-03-30","GA 148","CGK3","CGK3 - PDG (Domestic)","82","7","89","10.660.000"
"85","2017-03-30","GA 124","CGK3","CGK3 - PDG (Domestic)","89","2","91","11.570.000"
"86","2017-03-30","GA 136","CGK3","CGK3 - PGK (Domestic)","134","18","152","300.000"
"87","2017-03-30","GA 138","CGK3","CGK3 - PGK (Domestic)","93","9","102","12.090.000"
"88","2017-03-30","GA 178","CGK3","CGK3 - PKU (Domestic)","72","5","77","9.360.000"
"89","2017-03-30","GA 198","CGK3","CGK3 - PKU (Domestic)","68","19","87","180.000"
"90","2017-03-30","GA 176","CGK3","CGK3 - PKU (Domestic)","88","7","95","11.440.000"
"91","2017-03-30","GA 172","CGK3","CGK3 - PKU (Domestic)","152","7","159","19.760.000"
"92","2017-03-30","GA 170","CGK3","CGK3 - PKU (Domestic)","144","4","148","18.720.000"
"93","2017-03-30","GA 144","CGK3","CGK3 - PKU (Domestic)","104","22","126","13.520.000"
"94","2017-03-30","GA 550","CGK3","CGK3 - PKY (Domestic)","135","1","136","17.550.000"
"95","2017-03-30","GA 552","CGK3","CGK3 - PKY (Domestic)","84","21","105","10.920.000"
"96","2017-03-30","GA 114","CGK3","CGK3 - PLM (Domestic)","93","14","107","12.090.000"
"97","2017-03-30","GA 100","CGK3","CGK3 - PLM (Domestic)","130","4","134","16.900.000"
"98","2017-03-30","GA 102","CGK3","CGK3 - PLM (Domestic)","122","0","122","15.860.000"
"99","2017-03-30","GA 106","CGK3","CGK3 - PLM (Domestic)","93","7","100","12.090.000"
"100","2017-03-30","GA 108","CGK3","CGK3 - PLM (Domestic)","94","19","113","12.220.000"
"101","2017-03-30","GA 110","CGK3","CGK3 - PLM (Domestic)","113","9","122","14.690.000"
"102","2017-03-30","GA 116","CGK3","CGK3 - PLM (Domestic)","60","32","92","7.800.000"
"103","2017-03-30","GA 120","CGK3","CGK3 - PLM (Domestic)","109","12","121","14.170.000"
"104","2017-03-30","GA 104","CGK3","CGK3 - PLM (Domestic)","97","6","103","12.610.000"
"105","2017-03-30","GA 622","CGK3","CGK3 - PLW (Domestic)","80","4","84","10.400.000"
"106","2017-03-30","GA 510","CGK3","CGK3 - PNK (Domestic)","43","0","43","5.590.000"
"107","2017-03-30","GA 512","CGK3","CGK3 - PNK (Domestic)","78","13","91","10.140.000"
"108","2017-03-30","GA 504","CGK3","CGK3 - PNK (Domestic)","64","13","77","8.320.000"
"109","2017-03-30","GA 502","CGK3","CGK3 - PNK (Domestic)","132","6","138","16.380.000"
"110","2017-03-30","GA 500","CGK3","CGK3 - PNK (Domestic)","132","2","134","17.160.000"
"111","2017-03-30","GA 514","CGK3","CGK3 - PNK (Domestic)","69","10","79","8.970.000"
"112","2017-03-30","GA 508","CGK3","CGK3 - PNK (Domestic)","53","5","58","6.890.000"
"113","2017-03-30","GA 226","CGK3","CGK3 - SOC (Domestic)","78","12","90","10.140.000"
"114","2017-03-30","GA 222","CGK3","CGK3 - SOC (Domestic)","151","5","156","19.630.000"
"115","2017-03-30","GA 220","CGK3","CGK3 - SOC (Domestic)","113","2","115","14.690.000"
"116","2017-03-30","GA 228","CGK3","CGK3 - SOC (Domestic)","50","9","59","6.500.000"
"117","2017-03-30","GA 224","CGK3","CGK3 - SOC (Domestic)","100","10","110","13.000.000"
"118","2017-03-30","GA 230","CGK3","CGK3 - SRG (Domestic)","144","2","146","18.720.000"
"119","2017-03-30","GA 232","CGK3","CGK3 - SRG (Domestic)","153","3","156","19.890.000"
"120","2017-03-30","GA 234","CGK3","CGK3 - SRG (Domestic)","127","15","142","16.510.000"
"121","2017-03-30","GA 236","CGK3","CGK3 - SRG (Domestic)","85","31","116","11.050.000"
"122","2017-03-30","GA 238","CGK3","CGK3 - SRG (Domestic)","96","38","134","12.480.000"
"123","2017-03-30","GA 240","CGK3","CGK3 - SRG (Domestic)","70","13","83","9.100.000"
"124","2017-03-30","GA 242","CGK3","CGK3 - SRG (Domestic)","143","8","151","18.590.000"
"125","2017-03-30","GA 246","CGK3","CGK3 - SRG (Domestic)","132","28","160","17.160.000"
"126","2017-03-30","GA 244","CGK3","CGK3 - SRG (Domestic)","152","7","159","19.760.000"
"127","2017-03-30","GA 308","CGK3","CGK3 - SUB (Domestic)","150","6","156","19.500.000"
"128","2017-03-30","GA 322","CGK3","CGK3 - SUB (Domestic)","141","15","156","18.330.000"
"129","2017-03-30","GA 324","CGK3","CGK3 - SUB (Domestic)","138","20","158","17.940.000"
"130","2017-03-30","GA 326","CGK3","CGK3 - SUB (Domestic)","144","15","159","18.720.000"
"131","2017-03-30","GA 328","CGK3","CGK3 - SUB (Domestic)","138","21","159","17.940.000"
"132","2017-03-30","GA 316","CGK3","CGK3 - SUB (Domestic)","53","40","93","6.890.000"
