"No.","Flight Date","Flight No.","Airport","Route","Paying Pax","Non-Paying Pax","Total Pax","PSC (IDR)"
"1","2017-03-22","GA 648","CGK3","CGK3 - ? (Domestic)","122","9","131","15.860.000"
"2","2017-03-22","GA 646","CGK3","CGK3 - AMQ (Domestic)","89","5","94","11.570.000"
"3","2017-03-22","GA 536","CGK3","CGK3 - BDJ (Domestic)","65","5","70","8.450.000"
"4","2017-03-22","GA 528","CGK3","CGK3 - BDJ (Domestic)","79","10","89","10.270.000"
"5","2017-03-22","GA 530","CGK3","CGK3 - BDJ (Domestic)","154","1","155","20.020.000"
"6","2017-03-22","GA 532","CGK3","CGK3 - BDJ (Domestic)","117","29","146","15.210.000"
"7","2017-03-22","GA 534","CGK3","CGK3 - BDJ (Domestic)","77","33","110","10.010.000"
"8","2017-03-22","GA 538","CGK3","CGK3 - BDJ (Domestic)","74","4","78","9.620.000"
"9","2017-03-22","GA 298","CGK3","CGK3 - BKS (Domestic)","60","43","103","7.800.000"
"10","2017-03-22","GA 296","CGK3","CGK3 - BKS (Domestic)","104","2","106","13.520.000"
"11","2017-03-22","GA 562","CGK3","CGK3 - BPN (Domestic)","110","1","111","14.300.000"
"12","2017-03-22","GA 564","CGK3","CGK3 - BPN (Domestic)","160","26","186","20.800.000"
"13","2017-03-22","GA 570","CGK3","CGK3 - BPN (Domestic)","97","16","113","12.610.000"
"14","2017-03-22","GA 560","CGK3","CGK3 - BPN (Domestic)","117","0","117","15.210.000"
"15","2017-03-22","GA 568","CGK3","CGK3 - BPN (Domestic)","135","17","152","17.550.000"
"16","2017-03-22","GA 576","CGK3","CGK3 - BPN (Domestic)","103","16","119","13.390.000"
"17","2017-03-22","GA 572","CGK3","CGK3 - BPN (Domestic)","135","7","142","17.550.000"
"18","2017-03-22","GA 566","CGK3","CGK3 - BPN (Domestic)","90","6","96","11.700.000"
"19","2017-03-22","GA 150","CGK3","CGK3 - BTH (Domestic)","143","4","147","18.590.000"
"20","2017-03-22","GA 152","CGK3","CGK3 - BTH (Domestic)","142","6","148","18.460.000"
"21","2017-03-22","GA 154","CGK3","CGK3 - BTH (Domestic)","113","11","124","14.690.000"
"22","2017-03-22","GA 158","CGK3","CGK3 - BTH (Domestic)","87","13","100","11.310.000"
"23","2017-03-22","GA 156","CGK3","CGK3 - BTH (Domestic)","88","20","108","11.440.000"
"24","2017-03-22","GA 146","CGK3","CGK3 - BTJ (Domestic)","95","15","110","12.350.000"
"25","2017-03-22","GA 142","CGK3","CGK3 - BTJ (Domestic)","97","13","110","12.610.000"
"26","2017-03-22","GA 140","CGK3","CGK3 - BTJ (Domestic)","106","2","108","13.780.000"
"27","2017-03-22","GA 134","CGK3","CGK3 - DJB (Domestic)","109","25","134","14.170.000"
"28","2017-03-22","GA 132","CGK3","CGK3 - DJB (Domestic)","116","16","132","15.080.000"
"29","2017-03-22","GA 130","CGK3","CGK3 - DJB (Domestic)","114","2","116","14.820.000"
"30","2017-03-22","GA 128","CGK3","CGK3 - DJB (Domestic)","73","16","89","9.490.000"
"31","2017-03-22","GA 126","CGK3","CGK3 - DJB (Domestic)","131","15","146","17.030.000"
"32","2017-03-22","GA 656","CGK3","CGK3 - DJJ (Domestic)","136","9","145","17.680.000"
"33","2017-03-22","GA 438","CGK3","CGK3 - DPS (Domestic)","153","3","156","19.890.000"
"34","2017-03-22","GA 652","CGK3","CGK3 - DPS (Domestic)","95","32","127","12.350.000"
"35","2017-03-22","GA 4264","CGK3","CGK3 - DPS (Domestic)","294","15","309","38.220.000"
"36","2017-03-22","GA 420","CGK3","CGK3 - DPS (Domestic)","118","41","159","15.340.000"
"37","2017-03-22","GA 422","CGK3","CGK3 - DPS (Domestic)","171","80","251","22.230.000"
"38","2017-03-22","GA 426","CGK3","CGK3 - DPS (Domestic)","257","29","286","33.410.000"
"39","2017-03-22","GA 424","CGK3","CGK3 - DPS (Domestic)","107","20","127","13.910.000"
"40","2017-03-22","GA 418","CGK3","CGK3 - DPS (Domestic)","201","38","239","25.740.000"
"41","2017-03-22","GA 412","CGK3","CGK3 - DPS (Domestic)","260","29","289","28.730.000"
"42","2017-03-22","GA 408","CGK3","CGK3 - DPS (Domestic)","117","43","160","15.210.000"
"43","2017-03-22","GA 404","CGK3","CGK3 - DPS (Domestic)","142","18","160","18.460.000"
"44","2017-03-22","GA 402","CGK3","CGK3 - DPS (Domestic)","271","5","276","35.230.000"
"45","2017-03-22","GA 400","CGK3","CGK3 - DPS (Domestic)","157","0","157","20.410.000"
"46","2017-03-22","GA 414","CGK3","CGK3 - DPS (Domestic)","142","23","165","18.460.000"
"47","2017-03-22","GA 262","CGK3","CGK3 - FLZ (Domestic)","83","10","93","10.790.000"
"48","2017-03-22","GA 212","CGK3","CGK3 - JOG (Domestic)","135","22","157","17.550.000"
"49","2017-03-22","GA 216","CGK3","CGK3 - JOG (Domestic)","127","14","141","16.510.000"
"50","2017-03-22","GA 214","CGK3","CGK3 - JOG (Domestic)","136","21","157","17.680.000"
"51","2017-03-22","GA 210","CGK3","CGK3 - JOG (Domestic)","139","24","163","18.070.000"
"52","2017-03-22","GA 208","CGK3","CGK3 - JOG (Domestic)","131","32","163","17.030.000"
"53","2017-03-22","GA 206","CGK3","CGK3 - JOG (Domestic)","138","19","157","17.940.000"
"54","2017-03-22","GA 204","CGK3","CGK3 - JOG (Domestic)","158","5","163","20.540.000"
"55","2017-03-22","GA 202","CGK3","CGK3 - JOG (Domestic)","151","2","153","19.630.000"
"56","2017-03-22","GA 218","CGK3","CGK3 - JOG (Domestic)","93","45","138","12.090.000"
"57","2017-03-22","GA 118","CGK3","CGK3 - KNO (Domestic)","118","36","154","15.340.000"
"58","2017-03-22","GA 122","CGK3","CGK3 - KNO (Domestic)","132","19","151","17.160.000"
"59","2017-03-22","GA 180","CGK3","CGK3 - KNO (Domestic)","120","2","122","15.600.000"
"60","2017-03-22","GA 182","CGK3","CGK3 - KNO (Domestic)","137","18","155","17.810.000"
"61","2017-03-22","GA 184","CGK3","CGK3 - KNO (Domestic)","108","50","158","120.000"
"62","2017-03-22","GA 196","CGK3","CGK3 - KNO (Domestic)","132","25","157","17.160.000"
"63","2017-03-22","GA 194","CGK3","CGK3 - KNO (Domestic)","146","0","146","18.980.000"
"64","2017-03-22","GA 192","CGK3","CGK3 - KNO (Domestic)","138","23","161","17.940.000"
"65","2017-03-22","GA 188","CGK3","CGK3 - KNO (Domestic)","128","27","155","120.000"
"66","2017-03-22","GA 186","CGK3","CGK3 - KNO (Domestic)","137","21","158","17.810.000"
"67","2017-03-22","GA 456","CGK3","CGK3 - KOE (Domestic)","75","1","76","9.750.000"
