"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-04-27,"GA 648","CGK3-?
(Domestic)","115 ",19,134
2017-04-27,"GA 646","CGK3-AMQ
(Domestic)","85 ",6,91
2017-04-27,"GA 532","CGK3-BDJ
(Domestic)","129 ",7,136
2017-04-27,"GA 538","CGK3-BDJ
(Domestic)","59 ",5,64
2017-04-27,"GA 536","CGK3-BDJ
(Domestic)","67 ",5,72
2017-04-27,"GA 528","CGK3-BDJ
(Domestic)","106 ",2,108
2017-04-27,"GA 534","CGK3-BDJ
(Domestic)","112 ",9,121
2017-04-27,"GA 530","CGK3-BDJ
(Domestic)","128 ",2,130
2017-04-27,"GA 298","CGK3-BKS
(Domestic)","85 ",14,99
2017-04-27,"GA 296","CGK3-BKS
(Domestic)","64 ",3,67
2017-04-27,"GA 8022","CGK3-BPN
(Domestic)","1 ",0,1
2017-04-27,"GA 560","CGK3-BPN
(Domestic)","107 ",4,111
2017-04-27,"GA 562","CGK3-BPN
(Domestic)","101 ",0,101
2017-04-27,"GA 576","CGK3-BPN
(Domestic)","108 ",7,115
2017-04-27,"GA 572","CGK3-BPN
(Domestic)","69 ",6,75
2017-04-27,"GA 568","CGK3-BPN
(Domestic)","101 ",12,113
2017-04-27,"GA 566","CGK3-BPN
(Domestic)","67 ",8,75
2017-04-27,"GA 564","CGK3-BPN
(Domestic)","111 ",17,128
2017-04-27,"GA 570","CGK3-BPN
(Domestic)","68 ",4,72
2017-04-27,"GA 156","CGK3-BTH
(Domestic)","105 ",12,117
2017-04-27,"GA 154","CGK3-BTH
(Domestic)","100 ",6,106
2017-04-27,"GA 158","CGK3-BTH
(Domestic)","114 ",13,127
2017-04-27,"GA 152","CGK3-BTH
(Domestic)","150 ",11,161
2017-04-27,"GA 150","CGK3-BTH
(Domestic)","156 ",0,156
2017-04-27,"GA 140","CGK3-BTJ
(Domestic)","113 ",1,114
2017-04-27,"GA 146","CGK3-BTJ
(Domestic)","121 ",25,146
2017-04-27,"GA 142","CGK3-BTJ
(Domestic)","83 ",21,104
2017-04-27,"GA 126","CGK3-DJB
(Domestic)","92 ",6,98
2017-04-27,"GA 128","CGK3-DJB
(Domestic)","96 ",22,118
2017-04-27,"GA 130","CGK3-DJB
(Domestic)","107 ",1,108
2017-04-27,"GA 132","CGK3-DJB
(Domestic)","85 ",15,100
2017-04-27,"GA 134","CGK3-DJB
(Domestic)","98 ",27,125
2017-04-27,"GA 656","CGK3-DJJ
(Domestic)","124 ",17,141
2017-04-27,"GA 404","CGK3-DPS
(Domestic)","151 ",5,156
2017-04-27,"GA 402","CGK3-DPS
(Domestic)","277 ",7,284
2017-04-27,"GA 400","CGK3-DPS
(Domestic)","150 ",0,150
2017-04-27,"GA 652","CGK3-DPS
(Domestic)","134 ",19,153
2017-04-27,"GA 422","CGK3-DPS
(Domestic)","202 ",20,222
2017-04-27,"GA 408","CGK3-DPS
(Domestic)","154 ",6,160
2017-04-27,"GA 410","CGK3-DPS
(Domestic)","193 ",15,208
2017-04-27,"GA 412","CGK3-DPS
(Domestic)","207 ",17,224
2017-04-27,"GA 438","CGK3-DPS
(Domestic)","154 ",3,157
2017-04-27,"GA 426","CGK3-DPS
(Domestic)","142 ",6,148
2017-04-27,"GA 424","CGK3-DPS
(Domestic)","138 ",10,148
2017-04-27,"GA 420","CGK3-DPS
(Domestic)","118 ",6,124
2017-04-27,"GA 418","CGK3-DPS
(Domestic)","215 ",13,228
2017-04-27,"GA 414","CGK3-DPS
(Domestic)","152 ",2,154
2017-04-27,"GA 262","CGK3-FLZ
(Domestic)","44 ",3,47
2017-04-27,"GA 216","CGK3-JOG
(Domestic)","113 ",21,134
2017-04-27,"GA 214","CGK3-JOG
(Domestic)","149 ",10,159
2017-04-27,"GA 212","CGK3-JOG
(Domestic)","149 ",10,159
2017-04-27,"GA 210","CGK3-JOG
(Domestic)","126 ",25,151
2017-04-27,"GA 208","CGK3-JOG
(Domestic)","123 ",38,161
2017-04-27,"GA 206","CGK3-JOG
(Domestic)","147 ",13,160
2017-04-27,"GA 204","CGK3-JOG
(Domestic)","153 ",7,160
2017-04-27,"GA 202","CGK3-JOG
(Domestic)","159 ",1,160
2017-04-27,"GA 218","CGK3-JOG
(Domestic)","130 ",14,144
2017-04-27,"GA 180","CGK3-KNO
(Domestic)","143 ",2,145
2017-04-27,"GA 196","CGK3-KNO
(Domestic)","113 ",10,123
2017-04-27,"GA 186","CGK3-KNO
(Domestic)","109 ",26,135
2017-04-27,"GA 122","CGK3-KNO
(Domestic)","62 ",15,77
2017-04-27,"GA 118","CGK3-KNO
(Domestic)","104 ",11,115
2017-04-27,"GA 190","CGK3-KNO
(Domestic)","112 ",10,122
2017-04-27,"GA 184","CGK3-KNO
(Domestic)","145 ",11,156
2017-04-27,"GA 192","CGK3-KNO
(Domestic)","107 ",17,124
2017-04-27,"GA 194","CGK3-KNO
(Domestic)","131 ",0,131
2017-04-27,"GA 188","CGK3-KNO
(Domestic)","122 ",13,135
2017-04-27,"GA 456","CGK3-KOE
(Domestic)","68 ",0,68
2017-04-27,"GA 452","CGK3-LBJ
(Domestic)","86 ",3,89
2017-04-27,"GA 430","CGK3-LOP
(Domestic)","132 ",6,138
2017-04-27,"GA 432","CGK3-LOP
(Domestic)","116 ",13,129
2017-04-27,"GA 440","CGK3-LOP
(Domestic)","100 ",16,116
2017-04-27,"GA 434","CGK3-LOP
(Domestic)","148 ",0,148
2017-04-27,"GA 600","CGK3-MDC
(Domestic)","85 ",12,97
