"No.","Flight Date","Flight No.","Airport","Route","Paying Pax","Non-Paying Pax","Total Pax","PSC (IDR)"
"1","2017-03-27","GA 270","KNO","KNO - BTH (Domestic)","39","3","42","2.925.000"
"2","2017-03-27","GA 121","KNO","KNO - CGK (Domestic)","142","4","146","10.650.000"
"3","2017-03-27","GA 197","KNO","KNO - CGK (Domestic)","103","1","104","7.725.000"
"4","2017-03-27","GA 195","KNO","KNO - CGK (Domestic)","128","0","128","9.600.000"
"5","2017-03-27","GA 193","KNO","KNO - CGK (Domestic)","129","1","130","9.675.000"
"6","2017-03-27","GA 191","KNO","KNO - CGK (Domestic)","132","2","134","9.900.000"
"7","2017-03-27","GA 189","KNO","KNO - CGK (Domestic)","131","3","134","9.825.000"
"8","2017-03-27","GA 187","KNO","KNO - CGK (Domestic)","104","10","114","7.800.000"
"9","2017-03-27","GA 185","KNO","KNO - CGK (Domestic)","94","3","97","7.050.000"
"10","2017-03-27","GA 183","KNO","KNO - CGK (Domestic)","90","0","90","6.750.000"
"11","2017-03-27","GA 181","KNO","KNO - CGK (Domestic)","99","0","99","7.425.000"
"12","2017-03-27","GA 123","KNO","KNO - CGK (Domestic)","101","0","101","7.575.000"
"13","2017-03-27","GA 7136","KNO","KNO - DTB (Domestic)","29","18","47","2.175.000"
"14","2017-03-27","GA 7134","KNO","KNO - FLZ (Domestic)","38","13","51","2.850.000"
"15","2017-03-27","GA 7116","KNO","KNO - GNS (Domestic)","65","1","66","4.875.000"
"16","2017-03-27","GA 266","KNO","KNO - PLM (Domestic)","28","0","28","2.100.000"
"Total"," "," "," "," ","1.452","59","1.511","108.900.000"
