"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-03-08,"GA 501","PNK-CGK","74 ",0,74
2017-03-08,"GA 515","PNK-CGK","81 ",11,92
2017-03-08,"GA 513","PNK-CGK","98 ",10,108
2017-03-08,"GA 511","PNK-CGK","39 ",2,41
2017-03-08,"GA 507","PNK-CGK","112 ",17,129
2017-03-08,"GA 505","PNK-CGK","104 ",1,105
2017-03-08,"GA 503","PNK-CGK","116 ",1,117
2017-03-08,"GA 7532","PNK-KTG","52 ",16,68
2017-03-08,"GA 7523","PNK-PKY","23 ",2,25
2017-03-08,"GA 7524","PNK-PSU","24 ",9,33
2017-03-08,"GA 7534","PNK-SQG","44 ",11,55
