"No.","Flight Date","Flight No.","Airport","Route","Paying Pax","Non-Paying Pax","Total Pax","PSC (IDR)"
"1","2017-03-22","GA 270","KNO","KNO - BTH (Domestic)","86","1","87","6.450.000"
"2","2017-03-22","GA 121","KNO","KNO - CGK (Domestic)","158","3","161","11.850.000"
"3","2017-03-22","GA 197","KNO","KNO - CGK (Domestic)","154","0","154","11.550.000"
"4","2017-03-22","GA 195","KNO","KNO - CGK (Domestic)","141","0","141","10.575.000"
"5","2017-03-22","GA 191","KNO","KNO - CGK (Domestic)","154","2","156","11.550.000"
"6","2017-03-22","GA 189","KNO","KNO - CGK (Domestic)","111","37","148","8.325.000"
"7","2017-03-22","GA 187","KNO","KNO - CGK (Domestic)","152","1","153","11.400.000"
"8","2017-03-22","GA 185","KNO","KNO - CGK (Domestic)","119","33","152","8.925.000"
"9","2017-03-22","GA 183","KNO","KNO - CGK (Domestic)","145","1","146","10.875.000"
"10","2017-03-22","GA 181","KNO","KNO - CGK (Domestic)","106","0","106","7.950.000"
"11","2017-03-22","GA 123","KNO","KNO - CGK (Domestic)","123","2","125","9.225.000"
"12","2017-03-22","GA 7116","KNO","KNO - GNS (Domestic)","41","3","44","3.075.000"
"13","2017-03-22","GA 7124","KNO","KNO - LSW (Domestic)","31","39","70","2.325.000"
"14","2017-03-22","GA 266","KNO","KNO - PLM (Domestic)","86","2","88","6.450.000"
"Total"," "," "," "," ","1.607","124","1.731","120.525.000"
