"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-03-01,"GA 270","KNO-BTH
(Domestic)","63 ",1,64
2017-03-01,"GA 121","KNO-CGK
(Domestic)","121 ",15,136
2017-03-01,"GA 197","KNO-CGK
(Domestic)","122 ",0,122
2017-03-01,"GA 193","KNO-CGK
(Domestic)","134 ",4,138
2017-03-01,"GA 191","KNO-CGK
(Domestic)","121 ",8,129
2017-03-01,"GA 189","KNO-CGK
(Domestic)","111 ",35,146
2017-03-01,"GA 187","KNO-CGK
(Domestic)","119 ",12,131
2017-03-01,"GA 185","KNO-CGK
(Domestic)","111 ",13,124
2017-03-01,"GA 183","KNO-CGK
(Domestic)","129 ",1,130
2017-03-01,"GA 181","KNO-CGK
(Domestic)","98 ",0,98
2017-03-01,"GA 123","KNO-CGK
(Domestic)","115 ",1,116
2017-03-01,"GA 7136","KNO-DTB
(Domestic)","26 ",13,39
2017-03-01,"GA 7122","KNO-GNS
(Domestic)","22 ",3,25
2017-03-01,"GA 7118","KNO-GNS
(Domestic)","56 ",18,74
2017-03-01,"GA 7116","KNO-GNS
(Domestic)","20 ",0,20
2017-03-01,"GA 7124","KNO-LSW
(Domestic)","24 ",44,68
2017-03-01,"GA 266","KNO-PLM
(Domestic)","56 ",0,56
2017-03-01,"GA 850","KNO-SIN
(International)","39 ",0,39
2017-03-01,"MH 861","KNO-KUL
(International)","115 ",1,116
2017-03-01,"MH 865","KNO-KUL
(International)","79 ",0,79
2017-03-01,"MI 233","KNO-SIN
(International)","110 ",0,110
2017-03-01,"MI 237","KNO-SIN
(International)","106 ",0,106
2017-03-01,"KNO-MED
(International)","312 ",0,312
