"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-04-21,"GA 648","CGK3-?
(Domestic)","104 ",4,108
2017-04-21,"GA 646","CGK3-AMQ
(Domestic)","92 ",1,93
2017-04-21,"GA 530","CGK3-BDJ
(Domestic)","118 ",0,118
2017-04-21,"GA 532","CGK3-BDJ
(Domestic)","84 ",23,107
2017-04-21,"GA 534","CGK3-BDJ
(Domestic)","100 ",8,108
2017-04-21,"GA 536","CGK3-BDJ
(Domestic)","89 ",10,99
2017-04-21,"GA 538","CGK3-BDJ
(Domestic)","103 ",12,115
2017-04-21,"GA 528","CGK3-BDJ
(Domestic)","87 ",24,111
2017-04-21,"GA 298","CGK3-BKS
(Domestic)","107 ",43,150
2017-04-21,"GA 296","CGK3-BKS
(Domestic)","94 ",3,97
2017-04-21,"GA 566","CGK3-BPN
(Domestic)","115 ",12,127
2017-04-21,"GA 560","CGK3-BPN
(Domestic)","124 ",2,126
2017-04-21,"GA 564","CGK3-BPN
(Domestic)","120 ",20,140
2017-04-21,"GA 570","CGK3-BPN
(Domestic)","86 ",24,110
2017-04-21,"GA 568","CGK3-BPN
(Domestic)","89 ",36,125
2017-04-21,"GA 572","CGK3-BPN
(Domestic)","99 ",16,115
2017-04-21,"GA 576","CGK3-BPN
(Domestic)","119 ",21,140
2017-04-21,"GA 154","CGK3-BTH
(Domestic)","45 ",88,133
2017-04-21,"GA 152","CGK3-BTH
(Domestic)","68 ",93,161
2017-04-21,"GA 156","CGK3-BTH
(Domestic)","115 ",20,135
2017-04-21,"GA 158","CGK3-BTH
(Domestic)","109 ",33,142
2017-04-21,"GA 150","CGK3-BTH
(Domestic)","136 ",1,137
2017-04-21,"GA 142","CGK3-BTJ
(Domestic)","77 ",39,116
2017-04-21,"GA 140","CGK3-BTJ
(Domestic)","45 ",1,46
2017-04-21,"GA 146","CGK3-BTJ
(Domestic)","24 ",119,143
2017-04-21,"GA 128","CGK3-DJB
(Domestic)","96 ",42,138
2017-04-21,"GA 134","CGK3-DJB
(Domestic)","101 ",26,127
2017-04-21,"GA 126","CGK3-DJB
(Domestic)","84 ",7,91
2017-04-21,"GA 132","CGK3-DJB
(Domestic)","93 ",10,103
2017-04-21,"GA 130","CGK3-DJB
(Domestic)","59 ",1,60
2017-04-21,"GA 656","CGK3-DJJ
(Domestic)","61 ",7,68
2017-04-21,"GA 418","CGK3-DPS
(Domestic)","228 ",11,239
2017-04-21,"GA 410","CGK3-DPS
(Domestic)","365 ",23,388
2017-04-21,"GA 652","CGK3-DPS
(Domestic)","147 ",5,152
2017-04-21,"GA 420","CGK3-DPS
(Domestic)","150 ",11,161
2017-04-21,"GA 426","CGK3-DPS
(Domestic)","231 ",13,244
2017-04-21,"GA 424","CGK3-DPS
(Domestic)","127 ",33,160
2017-04-21,"GA 422","CGK3-DPS
(Domestic)","186 ",37,223
2017-04-21,"GA 414","CGK3-DPS
(Domestic)","147 ",5,152
2017-04-21,"GA 412","CGK3-DPS
(Domestic)","279 ",14,293
2017-04-21,"GA 408","CGK3-DPS
(Domestic)","149 ",15,164
2017-04-21,"GA 404","CGK3-DPS
(Domestic)","153 ",12,165
2017-04-21,"GA 402","CGK3-DPS
(Domestic)","223 ",21,244
2017-04-21,"GA 400","CGK3-DPS
(Domestic)","155 ",3,158
2017-04-21,"GA 438","CGK3-DPS
(Domestic)","158 ",0,158
2017-04-21,"GA 268","CGK3-DTB
(Domestic)","86 ",7,93
2017-04-21,"GA 1440","CGK3-DUM
(Domestic)","18 ",0,18
2017-04-21,"GA 208","CGK3-JOG
(Domestic)","138 ",25,163
2017-04-21,"GA 218","CGK3-JOG
(Domestic)","159 ",3,162
2017-04-21,"GA 216","CGK3-JOG
(Domestic)","157 ",7,164
2017-04-21,"GA 214","CGK3-JOG
(Domestic)","153 ",10,163
2017-04-21,"GA 212","CGK3-JOG
(Domestic)","147 ",17,164
2017-04-21,"GA 210","CGK3-JOG
(Domestic)","146 ",17,163
2017-04-21,"GA 206","CGK3-JOG
(Domestic)","150 ",11,161
2017-04-21,"GA 204","CGK3-JOG
(Domestic)","154 ",9,163
2017-04-21,"GA 202","CGK3-JOG
(Domestic)","154 ",2,156
2017-04-21,"GA 118","CGK3-KNO
(Domestic)","97 ",24,121
2017-04-21,"GA 122","CGK3-KNO
(Domestic)","122 ",23,145
2017-04-21,"GA 180","CGK3-KNO
(Domestic)","141 ",3,144
2017-04-21,"GA 182","CGK3-KNO
(Domestic)","105 ",7,112
2017-04-21,"GA 184","CGK3-KNO
(Domestic)","118 ",20,138
2017-04-21,"GA 188","CGK3-KNO
(Domestic)","98 ",23,121
2017-04-21,"GA 190","CGK3-KNO
(Domestic)","138 ",22,160
2017-04-21,"GA 196","CGK3-KNO
(Domestic)","106 ",30,136
2017-04-21,"GA 194","CGK3-KNO
(Domestic)","95 ",2,97
2017-04-21,"GA 192","CGK3-KNO
(Domestic)","95 ",43,138
2017-04-21,"GA 186","CGK3-KNO
(Domestic)","125 ",30,155
2017-04-21,"GA 456","CGK3-KOE
(Domestic)","72 ",0,72
2017-04-21,"GA 452","CGK3-LBJ
(Domestic)","93 ",0,93
2017-04-21,"GA 432","CGK3-LOP
(Domestic)","153 ",9,162
2017-04-21,"GA 430","CGK3-LOP
(Domestic)","129 ",16,145
2017-04-21,"GA 434","CGK3-LOP
(Domestic)","145 ",3,148
2017-04-21,"GA 440","CGK3-LOP
(Domestic)","143 ",12,155
2017-04-21,"GA 626","CGK3-MDC
(Domestic)","85 ",10,95
2017-04-21,"GA 606","CGK3-MDC
(Domestic)","110 ",5,115
