"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-03-21,"GA 145","PKU-CGK
(Domestic)","90 ",2,92
2017-03-21,"GA 171","PKU-CGK
(Domestic)","118 ",1,119
2017-03-21,"GA 175","PKU-CGK
(Domestic)","148 ",2,150
2017-03-21,"GA 177","PKU-CGK
(Domestic)","92 ",1,93
2017-03-21,"GA 179","PKU-CGK
(Domestic)","157 ",0,157
2017-03-21,"GA 199","PKU-CGK
(Domestic)","112 ",0,112
