"No.","Flight Date","Flight No.","Airport","Route","Paying Pax","Non-Paying Pax","Total Pax","PSC (IDR)"
"1","2017-02-26","GA 270","KNO","KNO - BTH (Domestic)","65","0","65","4.875.000"
"2","2017-02-26","GA 121","KNO","KNO - CGK (Domestic)","134","10","144","10.050.000"
"3","2017-02-26","GA 197","KNO","KNO - CGK (Domestic)","162","0","162","12.150.000"
"4","2017-02-26","GA 195","KNO","KNO - CGK (Domestic)","83","2","85","6.225.000"
"5","2017-02-26","GA 193","KNO","KNO - CGK (Domestic)","133","24","157","9.975.000"
"6","2017-02-26","GA 191","KNO","KNO - CGK (Domestic)","135","22","157","10.125.000"
"7","2017-02-26","GA 189","KNO","KNO - CGK (Domestic)","147","15","162","11.025.000"
"8","2017-02-26","GA 185","KNO","KNO - CGK (Domestic)","156","5","161","11.700.000"
"9","2017-02-26","GA 123","KNO","KNO - CGK (Domestic)","132","1","133","9.900.000"
"10","2017-02-26","GA 7136","KNO","KNO - DTB (Domestic)","46","5","51","3.450.000"
"11","2017-02-26","GA 7116","KNO","KNO - GNS (Domestic)","30","2","32","2.250.000"
"12","2017-02-26","GA 7118","KNO","KNO - GNS (Domestic)","45","23","68","3.375.000"
"13","2017-02-26","GA 7124","KNO","KNO - LSW (Domestic)","16","36","52","1.200.000"
"14","2017-02-26","GA 266","KNO","KNO - PLM (Domestic)","28","0","28","2.100.000"
"15","2017-02-26","GA 7112","KNO","KNO - SBG (Domestic)","15","0","15","1.125.000"
"16","2017-02-26","GA 850","KNO","KNO - SIN (International)","71","0","71","14.200.000"
"Total"," "," "," "," ","1.398","145","1.543","113.725.000"
