"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-04-01,"GA 648","CGK3-?
(Domestic)","111 ",8,119
2017-04-01,"GA 646","CGK3-AMQ
(Domestic)","89 ",17,106
2017-04-01,"GA 528","CGK3-BDJ
(Domestic)","80 ",29,109
2017-04-01,"GA 530","CGK3-BDJ
(Domestic)","107 ",1,108
2017-04-01,"GA 538","CGK3-BDJ
(Domestic)","52 ",2,54
2017-04-01,"GA 536","CGK3-BDJ
(Domestic)","52 ",12,64
2017-04-01,"GA 532","CGK3-BDJ
(Domestic)","107 ",14,121
2017-04-01,"GA 534","CGK3-BDJ
(Domestic)","77 ",5,82
2017-04-01,"GA 298","CGK3-BKS
(Domestic)","82 ",20,102
2017-04-01,"GA 296","CGK3-BKS
(Domestic)","130 ",3,133
2017-04-01,"GA 564","CGK3-BPN
(Domestic)","89 ",15,104
2017-04-01,"GA 568","CGK3-BPN
(Domestic)","90 ",19,109
2017-04-01,"GA 572","CGK3-BPN
(Domestic)","99 ",11,110
2017-04-01,"GA 562","CGK3-BPN
(Domestic)","75 ",1,76
2017-04-01,"GA 570","CGK3-BPN
(Domestic)","102 ",23,125
2017-04-01,"GA 560","CGK3-BPN
(Domestic)","64 ",0,64
2017-04-01,"GA 566","CGK3-BPN
(Domestic)","80 ",23,103
2017-04-01,"GA 576","CGK3-BPN
(Domestic)","67 ",6,73
2017-04-01,"GA 150","CGK3-BTH
(Domestic)","157 ",7,164
2017-04-01,"GA 152","CGK3-BTH
(Domestic)","134 ",22,156
2017-04-01,"GA 156","CGK3-BTH
(Domestic)","84 ",13,97
2017-04-01,"GA 158","CGK3-BTH
(Domestic)","72 ",12,84
2017-04-01,"GA 154","CGK3-BTH
(Domestic)","124 ",10,134
2017-04-01,"GA 142","CGK3-BTJ
(Domestic)","112 ",19,131
2017-04-01,"GA 140","CGK3-BTJ
(Domestic)","106 ",4,110
2017-04-01,"GA 146","CGK3-BTJ
(Domestic)","108 ",32,140
2017-04-01,"GA 126","CGK3-DJB
(Domestic)","139 ",16,155
2017-04-01,"GA 134","CGK3-DJB
(Domestic)","137 ",18,155
2017-04-01,"GA 128","CGK3-DJB
(Domestic)","106 ",23,129
2017-04-01,"GA 130","CGK3-DJB
(Domestic)","126 ",0,126
2017-04-01,"GA 132","CGK3-DJB
(Domestic)","128 ",20,148
2017-04-01,"GA 656","CGK3-DJJ
(Domestic)","95 ",26,121
2017-04-01,"GA 414","CGK3-DPS
(Domestic)","139 ",1,140
2017-04-01,"GA 652","CGK3-DPS
(Domestic)","67 ",8,75
2017-04-01,"GA 412","CGK3-DPS
(Domestic)","149 ",7,156
2017-04-01,"GA 420","CGK3-DPS
(Domestic)","116 ",18,134
2017-04-01,"GA 426","CGK3-DPS
(Domestic)","113 ",4,117
2017-04-01,"GA 424","CGK3-DPS
(Domestic)","55 ",6,61
2017-04-01,"GA 422","CGK3-DPS
(Domestic)","168 ",10,178
2017-04-01,"GA 418","CGK3-DPS
(Domestic)","116 ",13,129
2017-04-01,"GA 410","CGK3-DPS
(Domestic)","200 ",6,206
2017-04-01,"GA 408","CGK3-DPS
(Domestic)","123 ",4,127
2017-04-01,"GA 404","CGK3-DPS
(Domestic)","98 ",5,103
2017-04-01,"GA 402","CGK3-DPS
(Domestic)","177 ",4,181
2017-04-01,"GA 400","CGK3-DPS
(Domestic)","119 ",1,120
2017-04-01,"GA 438","CGK3-DPS
(Domestic)","105 ",3,108
2017-04-01,"GA 268","CGK3-DTB
(Domestic)","71 ",1,72
2017-04-01,"GA 262","CGK3-FLZ
(Domestic)","78 ",3,81
2017-04-01,"GA 208","CGK3-JOG
(Domestic)","119 ",29,148
2017-04-01,"GA 218","CGK3-JOG
(Domestic)","40 ",14,54
2017-04-01,"GA 214","CGK3-JOG
(Domestic)","86 ",14,100
2017-04-01,"GA 212","CGK3-JOG
(Domestic)","102 ",22,124
2017-04-01,"GA 210","CGK3-JOG
(Domestic)","62 ",23,85
2017-04-01,"GA 216","CGK3-JOG
(Domestic)","58 ",12,70
2017-04-01,"GA 206","CGK3-JOG
(Domestic)","138 ",13,151
2017-04-01,"GA 204","CGK3-JOG
(Domestic)","154 ",7,161
2017-04-01,"GA 202","CGK3-JOG
(Domestic)","151 ",0,151
2017-04-01,"GA 118","CGK3-KNO
(Domestic)","108 ",47,155
2017-04-01,"GA 182","CGK3-KNO
(Domestic)","122 ",13,135
2017-04-01,"GA 122","CGK3-KNO
(Domestic)","90 ",6,96
2017-04-01,"GA 180","CGK3-KNO
(Domestic)","119 ",7,126
2017-04-01,"GA 186","CGK3-KNO
(Domestic)","149 ",10,159
2017-04-01,"GA 184","CGK3-KNO
(Domestic)","108 ",39,147
2017-04-01,"GA 192","CGK3-KNO
(Domestic)","97 ",32,129
2017-04-01,"GA 194","CGK3-KNO
(Domestic)","118 ",1,119
2017-04-01,"GA 188","CGK3-KNO
(Domestic)","123 ",24,147
2017-04-01,"GA 196","CGK3-KNO
(Domestic)","81 ",14,95
2017-04-01,"GA 190","CGK3-KNO
(Domestic)","80 ",65,145
2017-04-01,"GA 456","CGK3-KOE
(Domestic)","48 ",0,48
