"No.","Flight Date","Flight No.","Airport","Route","Paying Pax","Non-Paying Pax","Total Pax","PSC (IDR)"
"1","2017-03-21","GA 270","KNO","KNO - BTH (Domestic)","70","4","74","5.250.000"
"2","2017-03-21","GA 121","KNO","KNO - CGK (Domestic)","109","2","111","8.175.000"
"3","2017-03-21","GA 197","KNO","KNO - CGK (Domestic)","139","0","139","10.425.000"
"4","2017-03-21","GA 195","KNO","KNO - CGK (Domestic)","91","0","91","6.825.000"
"5","2017-03-21","GA 193","KNO","KNO - CGK (Domestic)","145","0","145","10.875.000"
"6","2017-03-21","GA 191","KNO","KNO - CGK (Domestic)","115","0","115","8.625.000"
"7","2017-03-21","GA 189","KNO","KNO - CGK (Domestic)","130","1","131","9.750.000"
"8","2017-03-21","GA 187","KNO","KNO - CGK (Domestic)","126","3","129","9.450.000"
"9","2017-03-21","GA 185","KNO","KNO - CGK (Domestic)","99","20","119","7.425.000"
"10","2017-03-21","GA 183","KNO","KNO - CGK (Domestic)","110","0","110","8.250.000"
"11","2017-03-21","GA 181","KNO","KNO - CGK (Domestic)","84","0","84","6.300.000"
"12","2017-03-21","GA 123","KNO","KNO - CGK (Domestic)","126","0","126","9.450.000"
"13","2017-03-21","GA 7136","KNO","KNO - DTB (Domestic)","40","8","48","3.000.000"
"14","2017-03-21","GA 7134","KNO","KNO - FLZ (Domestic)","53","17","70","3.975.000"
"15","2017-03-21","GA 7116","KNO","KNO - GNS (Domestic)","59","1","60","4.425.000"
"16","2017-03-21","GA 266","KNO","KNO - PLM (Domestic)","96","0","96","7.200.000"
"Total"," "," "," "," ","1.592","56","1.648","119.400.000"
