"No.","Flight Date","Flight No.","Airport","Route","Paying Pax","Non-Paying Pax","Total Pax","PSC (IDR)"
"1","2017-03-31","GA 648","CGK3","CGK3 - ? (Domestic)","95","5","100","12.350.000"
"2","2017-03-31","GA 646","CGK3","CGK3 - AMQ (Domestic)","76","1","77","9.880.000"
"3","2017-03-31","GA 532","CGK3","CGK3 - BDJ (Domestic)","139","21","160","18.070.000"
"4","2017-03-31","GA 534","CGK3","CGK3 - BDJ (Domestic)","149","10","159","19.370.000"
"5","2017-03-31","GA 536","CGK3","CGK3 - BDJ (Domestic)","139","5","144","18.070.000"
"6","2017-03-31","GA 528","CGK3","CGK3 - BDJ (Domestic)","152","9","161","19.760.000"
"7","2017-03-31","GA 530","CGK3","CGK3 - BDJ (Domestic)","160","1","161","20.800.000"
"8","2017-03-31","GA 538","CGK3","CGK3 - BDJ (Domestic)","128","3","131","16.640.000"
"9","2017-03-31","GA 296","CGK3","CGK3 - BKS (Domestic)","136","12","148","17.680.000"
"10","2017-03-31","GA 298","CGK3","CGK3 - BKS (Domestic)","60","87","147","7.800.000"
"11","2017-03-31","GA 560","CGK3","CGK3 - BPN (Domestic)","89","0","89","11.570.000"
"12","2017-03-31","GA 570","CGK3","CGK3 - BPN (Domestic)","101","2","103","13.130.000"
"13","2017-03-31","GA 566","CGK3","CGK3 - BPN (Domestic)","64","13","77","8.320.000"
"14","2017-03-31","GA 568","CGK3","CGK3 - BPN (Domestic)","79","16","95","10.270.000"
"15","2017-03-31","GA 572","CGK3","CGK3 - BPN (Domestic)","106","6","112","13.780.000"
"16","2017-03-31","GA 576","CGK3","CGK3 - BPN (Domestic)","96","13","109","12.480.000"
"17","2017-03-31","GA 564","CGK3","CGK3 - BPN (Domestic)","129","1","130","16.770.000"
"18","2017-03-31","GA 152","CGK3","CGK3 - BTH (Domestic)","132","30","162","17.160.000"
"19","2017-03-31","GA 156","CGK3","CGK3 - BTH (Domestic)","140","17","157","18.200.000"
"20","2017-03-31","GA 158","CGK3","CGK3 - BTH (Domestic)","143","15","158","18.590.000"
"21","2017-03-31","GA 154","CGK3","CGK3 - BTH (Domestic)","147","10","157","19.110.000"
"22","2017-03-31","GA 150","CGK3","CGK3 - BTH (Domestic)","158","0","158","20.540.000"
"23","2017-03-31","GA 140","CGK3","CGK3 - BTJ (Domestic)","103","2","105","13.390.000"
"24","2017-03-31","GA 142","CGK3","CGK3 - BTJ (Domestic)","131","14","145","17.030.000"
"25","2017-03-31","GA 146","CGK3","CGK3 - BTJ (Domestic)","84","12","96","10.920.000"
"26","2017-03-31","GA 128","CGK3","CGK3 - DJB (Domestic)","119","10","129","15.470.000"
"27","2017-03-31","GA 134","CGK3","CGK3 - DJB (Domestic)","99","19","118","12.870.000"
"28","2017-03-31","GA 126","CGK3","CGK3 - DJB (Domestic)","149","7","156","19.370.000"
"29","2017-03-31","GA 132","CGK3","CGK3 - DJB (Domestic)","108","10","118","14.040.000"
"30","2017-03-31","GA 656","CGK3","CGK3 - DJJ (Domestic)","77","27","104","10.010.000"
"31","2017-03-31","GA 412","CGK3","CGK3 - DPS (Domestic)","261","19","280","28.210.000"
