"No.","Flight Date","Flight No.","Airport","Route","Paying Pax","Non-Paying Pax","Total Pax","PSC (IDR)"
"1","2017-03-05","GA 270","KNO","KNO - BTH (Domestic)","51","4","55","3.825.000"
"2","2017-03-05","GA 121","KNO","KNO - CGK (Domestic)","98","2","100","7.350.000"
"3","2017-03-05","GA 197","KNO","KNO - CGK (Domestic)","116","0","116","8.700.000"
"4","2017-03-05","GA 195","KNO","KNO - CGK (Domestic)","72","0","72","5.400.000"
"5","2017-03-05","GA 193","KNO","KNO - CGK (Domestic)","110","1","111","8.250.000"
"6","2017-03-05","GA 191","KNO","KNO - CGK (Domestic)","100","1","101","7.500.000"
"7","2017-03-05","GA 189","KNO","KNO - CGK (Domestic)","117","20","137","8.775.000"
"8","2017-03-05","GA 187","KNO","KNO - CGK (Domestic)","107","0","107","8.025.000"
"9","2017-03-05","GA 185","KNO","KNO - CGK (Domestic)","104","12","116","7.800.000"
"10","2017-03-05","GA 183","KNO","KNO - CGK (Domestic)","102","1","103","7.650.000"
"11","2017-03-05","GA 181","KNO","KNO - CGK (Domestic)","41","0","41","3.075.000"
"12","2017-03-05","GA 123","KNO","KNO - CGK (Domestic)","75","0","75","5.625.000"
"13","2017-03-05","GA 7116","KNO","KNO - GNS (Domestic)","44","1","45","3.300.000"
"14","2017-03-05","GA 7124","KNO","KNO - LSW (Domestic)","24","46","70","1.800.000"
"15","2017-03-05","GA 266","KNO","KNO - PLM (Domestic)","54","1","55","4.050.000"
"16","2017-03-05","GA 7112","KNO","KNO - SBG (Domestic)","24","9","33","1.800.000"
"Total"," "," "," "," ","1.239","98","1.337","92.925.000"
