"No.","Flight Date","Flight No.","Airport","Route","Paying Pax","Non-Paying Pax","Total Pax","PSC (IDR)"
"1","2017-03-31","GA 121","KNO","KNO - CGK (Domestic)","149","5","154","11.175.000"
"2","2017-03-31","GA 197","KNO","KNO - CGK (Domestic)","122","1","123","9.150.000"
"3","2017-03-31","GA 195","KNO","KNO - CGK (Domestic)","138","12","150","10.350.000"
"4","2017-03-31","GA 193","KNO","KNO - CGK (Domestic)","112","35","147","8.400.000"
"5","2017-03-31","GA 191","KNO","KNO - CGK (Domestic)","152","3","155","11.400.000"
"6","2017-03-31","GA 189","KNO","KNO - CGK (Domestic)","155","4","159","11.625.000"
"7","2017-03-31","GA 187","KNO","KNO - CGK (Domestic)","159","1","160","11.925.000"
"8","2017-03-31","GA 185","KNO","KNO - CGK (Domestic)","132","5","137","9.900.000"
"9","2017-03-31","GA 183","KNO","KNO - CGK (Domestic)","128","0","128","9.600.000"
"10","2017-03-31","GA 181","KNO","KNO - CGK (Domestic)","133","1","134","9.975.000"
"11","2017-03-31","GA 123","KNO","KNO - CGK (Domestic)","117","0","117","8.775.000"
"12","2017-03-31","GA 7116","KNO","KNO - GNS (Domestic)","55","1","56","4.125.000"
"13","2017-03-31","GA 7124","KNO","KNO - LSW (Domestic)","37","23","60","2.775.000"
"14","2017-03-31","GA 266","KNO","KNO - PLM (Domestic)","65","0","65","4.875.000"
"15","2017-03-31","GA 7112","KNO","KNO - SBG (Domestic)","27","3","30","2.025.000"
"Total"," "," "," "," ","1.681","94","1.775","126.075.000"
