"No.","Flight Date","Flight No.","Airport","Route","Paying Pax","Non-Paying Pax","Total Pax","PSC (IDR)"
"1","2017-02-19","GA 270","KNO","KNO - BTH (Domestic)","60","1","61","4.500.000"
"2","2017-02-19","GA 121","KNO","KNO - CGK (Domestic)","131","15","146","9.825.000"
"3","2017-02-19","GA 195","KNO","KNO - CGK (Domestic)","140","3","143","10.500.000"
"4","2017-02-19","GA 193","KNO","KNO - CGK (Domestic)","136","4","140","10.200.000"
"5","2017-02-19","GA 191","KNO","KNO - CGK (Domestic)","133","9","142","9.975.000"
"6","2017-02-19","GA 189","KNO","KNO - CGK (Domestic)","137","17","154","10.275.000"
"7","2017-02-19","GA 187","KNO","KNO - CGK (Domestic)","139","13","152","10.425.000"
"8","2017-02-19","GA 123","KNO","KNO - CGK (Domestic)","105","4","109","7.875.000"
"9","2017-02-19","GA 181","KNO","KNO - CGK (Domestic)","76","1","77","5.700.000"
"10","2017-02-19","GA 183","KNO","KNO - CGK (Domestic)","129","1","130","9.675.000"
"11","2017-02-19","GA 185","KNO","KNO - CGK (Domestic)","127","6","133","9.525.000"
"12","2017-02-19","GA 7136","KNO","KNO - DTB (Domestic)","25","2","27","1.875.000"
"13","2017-02-19","GA 7116","KNO","KNO - GNS (Domestic)","48","1","49","3.600.000"
"14","2017-02-19","GA 7118","KNO","KNO - GNS (Domestic)","58","17","75","4.350.000"
"15","2017-02-19","GA 7124","KNO","KNO - LSW (Domestic)","15","20","35","1.125.000"
"16","2017-02-19","GA 266","KNO","KNO - PLM (Domestic)","49","1","50","3.675.000"
"17","2017-02-19","GA 850","KNO","KNO - SIN (International)","95","6","101","19.000.000"
"Total"," "," "," "," ","1.603","121","1.724","132.100.000"
