"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-04-22,"GA 648","CGK3-?
(Domestic)","112 ",8,120
2017-04-22,"GA 646","CGK3-AMQ
(Domestic)","104 ",3,107
2017-04-22,"GA 532","CGK3-BDJ
(Domestic)","142 ",16,158
2017-04-22,"GA 530","CGK3-BDJ
(Domestic)","162 ",1,163
2017-04-22,"GA 528","CGK3-BDJ
(Domestic)","121 ",15,136
2017-04-22,"GA 536","CGK3-BDJ
(Domestic)","97 ",16,113
2017-04-22,"GA 538","CGK3-BDJ
(Domestic)","59 ",10,69
2017-04-22,"GA 298","CGK3-BKS
(Domestic)","73 ",49,122
2017-04-22,"GA 296","CGK3-BKS
(Domestic)","139 ",3,142
2017-04-22,"GA 560","CGK3-BPN
(Domestic)","95 ",0,95
2017-04-22,"GA 576","CGK3-BPN
(Domestic)","68 ",17,85
2017-04-22,"GA 572","CGK3-BPN
(Domestic)","108 ",31,139
2017-04-22,"GA 566","CGK3-BPN
(Domestic)","116 ",10,126
2017-04-22,"GA 564","CGK3-BPN
(Domestic)","98 ",5,103
2017-04-22,"GA 562","CGK3-BPN
(Domestic)","86 ",1,87
2017-04-22,"GA 570","CGK3-BPN
(Domestic)","115 ",8,123
2017-04-22,"GA 150","CGK3-BTH
(Domestic)","158 ",0,158
2017-04-22,"GA 156","CGK3-BTH
(Domestic)","104 ",4,108
2017-04-22,"GA 152","CGK3-BTH
(Domestic)","153 ",5,158
2017-04-22,"GA 158","CGK3-BTH
(Domestic)","105 ",13,118
2017-04-22,"GA 154","CGK3-BTH
(Domestic)","135 ",9,144
2017-04-22,"GA 140","CGK3-BTJ
(Domestic)","94 ",1,95
2017-04-22,"GA 146","CGK3-BTJ
(Domestic)","78 ",42,120
2017-04-22,"GA 142","CGK3-BTJ
(Domestic)","58 ",44,102
2017-04-22,"GA 130","CGK3-DJB
(Domestic)","111 ",2,113
2017-04-22,"GA 126","CGK3-DJB
(Domestic)","110 ",12,122
