"No.","Flight Date","Flight No.","Airport","Route","Paying Pax","Non-Paying Pax","Total Pax","PSC (IDR)"
"1","2017-02-03","GA 270","KNO","KNO - BTH (Domestic)","63","5","68","4.725.000"
"2","2017-02-03","GA 121","KNO","KNO - CGK (Domestic)","124","13","137","9.300.000"
"3","2017-02-03","GA 197","KNO","KNO - CGK (Domestic)","144","4","148","10.800.000"
"4","2017-02-03","GA 195","KNO","KNO - CGK (Domestic)","101","1","102","7.575.000"
"5","2017-02-03","GA 193","KNO","KNO - CGK (Domestic)","133","3","136","9.975.000"
"6","2017-02-03","GA 191","KNO","KNO - CGK (Domestic)","113","8","121","8.475.000"
"7","2017-02-03","GA 189","KNO","KNO - CGK (Domestic)","129","25","154","9.675.000"
"8","2017-02-03","GA 187","KNO","KNO - CGK (Domestic)","94","8","102","7.050.000"
"9","2017-02-03","GA 123","KNO","KNO - CGK (Domestic)","124","0","124","9.300.000"
"10","2017-02-03","GA 181","KNO","KNO - CGK (Domestic)","88","0","88","6.600.000"
"11","2017-02-03","GA 183","KNO","KNO - CGK (Domestic)","154","0","154","11.550.000"
"12","2017-02-03","GA 185","KNO","KNO - CGK (Domestic)","95","4","99","7.125.000"
"13","2017-02-03","GA 7136","KNO","KNO - DTB (Domestic)","19","5","24","1.425.000"
"14","2017-02-03","GA 7116","KNO","KNO - GNS (Domestic)","32","6","38","2.400.000"
"15","2017-02-03","GA 7118","KNO","KNO - GNS (Domestic)","30","3","33","2.250.000"
"16","2017-02-03","GA 7124","KNO","KNO - LSW (Domestic)","10","50","60","750.000"
"17","2017-02-03","GA 266","KNO","KNO - PLM (Domestic)","70","2","72","5.250.000"
"18","2017-02-03","GA 7112","KNO","KNO - SBG (Domestic)","30","4","34","2.250.000"
"19","2017-02-03","GA 850","KNO","KNO - SIN (International)","116","3","119","23.200.000"
"Total"," "," "," "," ","1.669","144","1.813","139.675.000"
