"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-04-14,"GA 648","CGK3-?
(Domestic)","110 ",9,119
2017-04-14,"GA 646","CGK3-AMQ
(Domestic)","81 ",4,85
2017-04-14,"GA 534","CGK3-BDJ
(Domestic)","92 ",10,102
2017-04-14,"GA 538","CGK3-BDJ
(Domestic)","29 ",7,36
2017-04-14,"GA 530","CGK3-BDJ
(Domestic)","158 ",5,163
2017-04-14,"GA 532","CGK3-BDJ
(Domestic)","142 ",12,154
2017-04-14,"GA 536","CGK3-BDJ
(Domestic)","56 ",11,67
2017-04-14,"GA 528","CGK3-BDJ
(Domestic)","107 ",8,115
2017-04-14,"GA 296","CGK3-BKS
(Domestic)","162 ",1,163
2017-04-14,"GA 298","CGK3-BKS
(Domestic)","135 ",23,158
2017-04-14,"GA 566","CGK3-BPN
(Domestic)","81 ",12,93
2017-04-14,"GA 570","CGK3-BPN
(Domestic)","122 ",4,126
2017-04-14,"GA 572","CGK3-BPN
(Domestic)","120 ",10,130
2017-04-14,"GA 576","CGK3-BPN
(Domestic)","96 ",5,101
2017-04-14,"GA 568","CGK3-BPN
(Domestic)","106 ",8,114
2017-04-14,"GA 560","CGK3-BPN
(Domestic)","134 ",2,136
2017-04-14,"GA 564","CGK3-BPN
(Domestic)","116 ",15,131
2017-04-14,"GA 152","CGK3-BTH
(Domestic)","135 ",14,149
2017-04-14,"GA 150","CGK3-BTH
(Domestic)","154 ",3,157
2017-04-14,"GA 154","CGK3-BTH
(Domestic)","131 ",7,138
2017-04-14,"GA 158","CGK3-BTH
(Domestic)","59 ",32,91
2017-04-14,"GA 156","CGK3-BTH
(Domestic)","81 ",25,106
2017-04-14,"GA 140","CGK3-BTJ
(Domestic)","103 ",8,111
2017-04-14,"GA 146","CGK3-BTJ
(Domestic)","100 ",16,116
2017-04-14,"GA 142","CGK3-BTJ
(Domestic)","39 ",42,81
2017-04-14,"GA 130","CGK3-DJB
(Domestic)","145 ",2,147
2017-04-14,"GA 134","CGK3-DJB
(Domestic)","104 ",34,138
2017-04-14,"GA 126","CGK3-DJB
(Domestic)","140 ",18,158
2017-04-14,"GA 132","CGK3-DJB
(Domestic)","119 ",35,154
2017-04-14,"GA 656","CGK3-DJJ
(Domestic)","79 ",9,88
2017-04-14,"GA 652","CGK3-DPS
(Domestic)","86 ",12,98
2017-04-14,"GA 410","CGK3-DPS
(Domestic)","231 ",13,244
2017-04-14,"GA 420","CGK3-DPS
(Domestic)","115 ",19,134
2017-04-14,"GA 418","CGK3-DPS
(Domestic)","130 ",4,134
2017-04-14,"GA 426","CGK3-DPS
(Domestic)","204 ",1,205
2017-04-14,"GA 424","CGK3-DPS
(Domestic)","57 ",5,62
2017-04-14,"GA 422","CGK3-DPS
(Domestic)","197 ",10,207
2017-04-14,"GA 414","CGK3-DPS
(Domestic)","135 ",13,148
2017-04-14,"GA 412","CGK3-DPS
(Domestic)","156 ",5,161
2017-04-14,"GA 408","CGK3-DPS
(Domestic)","156 ",10,166
2017-04-14,"GA 404","CGK3-DPS
(Domestic)","156 ",8,164
2017-04-14,"GA 402","CGK3-DPS
(Domestic)","246 ",15,261
2017-04-14,"GA 400","CGK3-DPS
(Domestic)","157 ",3,160
2017-04-14,"GA 438","CGK3-DPS
(Domestic)","161 ",6,167
2017-04-14,"GA 268","CGK3-DTB
(Domestic)","93 ",9,102
2017-04-14,"GA 1440","CGK3-DUM
(Domestic)","35 ",1,36
2017-04-14,"GA 208","CGK3-JOG
(Domestic)","155 ",11,166
2017-04-14,"GA 216","CGK3-JOG
(Domestic)","150 ",13,163
2017-04-14,"GA 218","CGK3-JOG
(Domestic)","109 ",26,135
2017-04-14,"GA 214","CGK3-JOG
(Domestic)","140 ",18,158
2017-04-14,"GA 212","CGK3-JOG
(Domestic)","129 ",34,163
2017-04-14,"GA 210","CGK3-JOG
(Domestic)","144 ",18,162
2017-04-14,"GA 206","CGK3-JOG
(Domestic)","159 ",5,164
2017-04-14,"GA 204","CGK3-JOG
(Domestic)","154 ",8,162
2017-04-14,"GA 202","CGK3-JOG
(Domestic)","160 ",2,162
2017-04-14,"GA 188","CGK3-KNO
(Domestic)","89 ",23,112
2017-04-14,"GA 190","CGK3-KNO
(Domestic)","105 ",33,138
2017-04-14,"GA 194","CGK3-KNO
(Domestic)","138 ",3,141
2017-04-14,"GA 180","CGK3-KNO
(Domestic)","138 ",8,146
2017-04-14,"GA 122","CGK3-KNO
(Domestic)","77 ",75,152
2017-04-14,"GA 118","CGK3-KNO
(Domestic)","92 ",35,127
2017-04-14,"GA 196","CGK3-KNO
(Domestic)","56 ",45,101
2017-04-14,"GA 182","CGK3-KNO
(Domestic)","140 ",4,144
2017-04-14,"GA 186","CGK3-KNO
(Domestic)","120 ",19,139
2017-04-14,"GA 184","CGK3-KNO
(Domestic)","108 ",28,136
2017-04-14,"GA 456","CGK3-KOE
(Domestic)","61 ",2,63
