"No.","Flight Date","Flight No.","Airport","Route","Paying Pax","Non-Paying Pax","Total Pax","PSC (IDR)"
"1","2017-03-08","GA 270","KNO","KNO - BTH (Domestic)","73","0","73","5.475.000"
"2","2017-03-08","GA 121","KNO","KNO - CGK (Domestic)","123","13","136","9.225.000"
"3","2017-03-08","GA 197","KNO","KNO - CGK (Domestic)","152","3","155","11.400.000"
"4","2017-03-08","GA 195","KNO","KNO - CGK (Domestic)","86","1","87","6.450.000"
"5","2017-03-08","GA 193","KNO","KNO - CGK (Domestic)","131","4","135","9.825.000"
"6","2017-03-08","GA 191","KNO","KNO - CGK (Domestic)","127","19","146","9.525.000"
"7","2017-03-08","GA 189","KNO","KNO - CGK (Domestic)","128","25","153","9.600.000"
"8","2017-03-08","GA 187","KNO","KNO - CGK (Domestic)","145","2","147","10.875.000"
"9","2017-03-08","GA 123","KNO","KNO - CGK (Domestic)","130","0","130","9.750.000"
"10","2017-03-08","GA 181","KNO","KNO - CGK (Domestic)","112","1","113","8.400.000"
"11","2017-03-08","GA 183","KNO","KNO - CGK (Domestic)","139","0","139","10.425.000"
"12","2017-03-08","GA 185","KNO","KNO - CGK (Domestic)","143","11","154","10.725.000"
"13","2017-03-08","GA 7136","KNO","KNO - DTB (Domestic)","19","12","31","1.425.000"
"14","2017-03-08","GA 7116","KNO","KNO - GNS (Domestic)","50","1","51","3.750.000"
"15","2017-03-08","GA 7118","KNO","KNO - GNS (Domestic)","26","7","33","1.950.000"
"16","2017-03-08","GA 7122","KNO","KNO - GNS (Domestic)","38","3","41","2.850.000"
"17","2017-03-08","GA 7124","KNO","KNO - LSW (Domestic)","21","50","71","1.575.000"
"18","2017-03-08","GA 266","KNO","KNO - PLM (Domestic)","92","0","92","6.900.000"
"Total"," "," "," "," ","1.735","152","1.887","130.125.000"
