"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-03-05,"GA 7132","PLM-BKS
(Domestic)","52 ",2,54
2017-03-05,"GA 101","PLM-CGK
(Domestic)","38 ",1,39
2017-03-05,"GA 119","PLM-CGK
(Domestic)","101 ",0,101
2017-03-05,"GA 117","PLM-CGK
(Domestic)","92 ",0,92
2017-03-05,"GA 115","PLM-CGK
(Domestic)","156 ",1,157
2017-03-05,"GA 113","PLM-CGK
(Domestic)","136 ",1,137
2017-03-05,"GA 111","PLM-CGK
(Domestic)","113 ",2,115
2017-03-05,"GA 109","PLM-CGK
(Domestic)","127 ",2,129
2017-03-05,"GA 107","PLM-CGK
(Domestic)","66 ",1,67
2017-03-05,"GA 105","PLM-CGK
(Domestic)","66 ",3,69
2017-03-05,"GA 103","PLM-CGK
(Domestic)","57 ",0,57
2017-03-05,"GA 7114","PLM-DJB
(Domestic)","38 ",1,39
2017-03-05,"GA 266","PLM-DPS
(Domestic)","13 ",15,28
2017-03-05,"GA 267","PLM-KNO
(Domestic)","37 ",42,79
2017-03-05,"GA 7126","PLM-PGK
(Domestic)","54 ",2,56
2017-03-05,"GA 7128","PLM-TKG
(Domestic)","58 ",1,59
2017-03-05,"MI 167","PLM-SIN
(International)","125 ",0,125
