"No.","Flight Date","Flight No.","Airport","Route","Paying Pax","Non-Paying Pax","Total Pax","PSC (IDR)"
"1","2017-03-29","GA 270","KNO","KNO - BTH (Domestic)","95","1","96","7.125.000"
"2","2017-03-29","GA 121","KNO","KNO - CGK (Domestic)","155","8","163","11.625.000"
"3","2017-03-29","GA 197","KNO","KNO - CGK (Domestic)","157","1","158","11.775.000"
"4","2017-03-29","GA 195","KNO","KNO - CGK (Domestic)","155","2","157","11.625.000"
"5","2017-03-29","GA 193","KNO","KNO - CGK (Domestic)","154","1","155","11.550.000"
"6","2017-03-29","GA 191","KNO","KNO - CGK (Domestic)","153","1","154","11.475.000"
"7","2017-03-29","GA 189","KNO","KNO - CGK (Domestic)","148","16","164","11.100.000"
"8","2017-03-29","GA 187","KNO","KNO - CGK (Domestic)","149","2","151","11.175.000"
"9","2017-03-29","GA 185","KNO","KNO - CGK (Domestic)","153","7","160","11.475.000"
"10","2017-03-29","GA 183","KNO","KNO - CGK (Domestic)","155","1","156","11.625.000"
"11","2017-03-29","GA 181","KNO","KNO - CGK (Domestic)","149","2","151","11.175.000"
"12","2017-03-29","GA 123","KNO","KNO - CGK (Domestic)","150","5","155","11.250.000"
"13","2017-03-29","GA 7116","KNO","KNO - GNS (Domestic)","67","2","69","5.025.000"
"14","2017-03-29","GA 7124","KNO","KNO - LSW (Domestic)","32","34","66","2.400.000"
"15","2017-03-29","GA 266","KNO","KNO - PLM (Domestic)","95","0","95","7.125.000"
"Total"," "," "," "," ","1.967","83","2.050","147.525.000"
