"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-04-09,"GA 7132","PLM-BKS
(Domestic)","48 ",0,48
2017-04-09,"GA 101","PLM-CGK
(Domestic)","61 ",1,62
2017-04-09,"GA 119","PLM-CGK
(Domestic)","133 ",1,134
2017-04-09,"GA 117","PLM-CGK
(Domestic)","110 ",2,112
2017-04-09,"GA 115","PLM-CGK
(Domestic)","148 ",2,150
2017-04-09,"GA 113","PLM-CGK
(Domestic)","161 ",0,161
2017-04-09,"GA 111","PLM-CGK
(Domestic)","136 ",1,137
2017-04-09,"GA 109","PLM-CGK
(Domestic)","117 ",2,119
2017-04-09,"GA 107","PLM-CGK
(Domestic)","116 ",3,119
2017-04-09,"GA 105","PLM-CGK
(Domestic)","103 ",4,107
2017-04-09,"GA 103","PLM-CGK
(Domestic)","66 ",3,69
2017-04-09,"GA 7114","PLM-DJB
(Domestic)","62 ",5,67
2017-04-09,"GA 266","PLM-DPS
(Domestic)","35 ",17,52
2017-04-09,"GA 267","PLM-KNO
(Domestic)","36 ",31,67
2017-04-09,"GA 7126","PLM-PGK
(Domestic)","55 ",1,56
2017-04-09,"GA 7128","PLM-TKG
(Domestic)","67 ",1,68
2017-04-09,"MI 167","PLM-SIN
(International)","54 ",3,57
