"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-04-10,"GA 501","PNK-CGK","79 ",0,79
2017-04-10,"GA 515","PNK-CGK","87 ",10,97
2017-04-10,"GA 513","PNK-CGK","84 ",32,116
2017-04-10,"GA 511","PNK-CGK","43 ",7,50
2017-04-10,"GA 507","PNK-CGK","78 ",21,99
2017-04-10,"GA 505","PNK-CGK","82 ",24,106
2017-04-10,"GA 503","PNK-CGK","105 ",1,106
2017-04-10,"GA 7528","PNK-KTG","68 ",1,69
2017-04-10,"GA 7532","PNK-KTG","56 ",13,69
2017-04-10,"GA 7536","PNK-KTG","32 ",38,70
2017-04-10,"GA 7523","PNK-PKY","22 ",1,23
2017-04-10,"GA 7524","PNK-PSU","47 ",19,66
2017-04-10,"GA 7534","PNK-SQG","20 ",14,34
