"No.","Flight Date","Flight No.","Airport","Route","Paying Pax","Non-Paying Pax","Total Pax","PSC (IDR)"
"1","2017-02-28","GA 270","KNO","KNO - BTH (Domestic)","65","3","68","4.875.000"
"2","2017-02-28","GA 121","KNO","KNO - CGK (Domestic)","136","19","155","10.200.000"
"3","2017-02-28","GA 197","KNO","KNO - CGK (Domestic)","148","1","149","11.100.000"
"4","2017-02-28","GA 193","KNO","KNO - CGK (Domestic)","137","4","141","10.275.000"
"5","2017-02-28","GA 191","KNO","KNO - CGK (Domestic)","135","12","147","10.125.000"
"6","2017-02-28","GA 189","KNO","KNO - CGK (Domestic)","113","41","154","8.475.000"
"7","2017-02-28","GA 187","KNO","KNO - CGK (Domestic)","126","3","129","9.450.000"
"8","2017-02-28","GA 185","KNO","KNO - CGK (Domestic)","118","0","118","8.850.000"
"9","2017-02-28","GA 123","KNO","KNO - CGK (Domestic)","123","1","124","9.225.000"
"10","2017-02-28","GA 7136","KNO","KNO - DTB (Domestic)","27","2","29","2.025.000"
"11","2017-02-28","GA 7134","KNO","KNO - FLZ (Domestic)","41","6","47","3.075.000"
"12","2017-02-28","GA 7118","KNO","KNO - GNS (Domestic)","52","9","61","3.900.000"
"13","2017-02-28","GA 7124","KNO","KNO - LSW (Domestic)","13","34","47","975.000"
"14","2017-02-28","GA 266","KNO","KNO - PLM (Domestic)","41","0","41","3.075.000"
"15","2017-02-28","GA 850","KNO","KNO - SIN (International)","42","2","44","8.400.000"
"Total"," "," "," "," ","1.317","137","1.454","104.025.000"
