"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-03-09,"GA 7132","PLM-BKS
(Domestic)","45 ",1,46
2017-03-09,"GA 101","PLM-CGK
(Domestic)","75 ",0,75
2017-03-09,"GA 119","PLM-CGK
(Domestic)","111 ",0,111
2017-03-09,"GA 117","PLM-CGK
(Domestic)","133 ",0,133
2017-03-09,"GA 115","PLM-CGK
(Domestic)","151 ",1,152
2017-03-09,"GA 113","PLM-CGK
(Domestic)","160 ",0,160
2017-03-09,"GA 111","PLM-CGK
(Domestic)","162 ",0,162
2017-03-09,"GA 109","PLM-CGK
(Domestic)","162 ",2,164
2017-03-09,"GA 107","PLM-CGK
(Domestic)","139 ",1,140
2017-03-09,"GA 105","PLM-CGK
(Domestic)","118 ",0,118
2017-03-09,"GA 103","PLM-CGK
(Domestic)","81 ",0,81
2017-03-09,"GA 7114","PLM-DJB
(Domestic)","69 ",0,69
2017-03-09,"GA 266","PLM-DPS
(Domestic)","45 ",20,65
2017-03-09,"GA 267","PLM-KNO
(Domestic)","39 ",9,48
2017-03-09,"GA 7126","PLM-PGK
(Domestic)","61 ",3,64
2017-03-09,"GA 7128","PLM-TKG
(Domestic)","46 ",0,46
2017-03-09,"MI 161","PLM-SIN
(International)","115 ",2,117
