"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-04-13,"GA 334","BDO-DPS
(Domestic)","144 ",0,144
2017-04-13,"GA 372","BDO-SUB
(Domestic)","154 ",0,154
2017-04-13,"MI 191","BDO-SIN
(International)","133 ",1,134
