"No.","Flight Date","Flight No.","Airport","Route","Paying Pax","Non-Paying Pax","Total Pax","PSC (IDR)"
"1","2017-03-28","GA 270","KNO","KNO - BTH (Domestic)","92","3","95","6.900.000"
"2","2017-03-28","GA 121","KNO","KNO - CGK (Domestic)","148","14","162","11.100.000"
"3","2017-03-28","GA 197","KNO","KNO - CGK (Domestic)","155","0","155","11.625.000"
"4","2017-03-28","GA 195","KNO","KNO - CGK (Domestic)","154","0","154","11.550.000"
"5","2017-03-28","GA 193","KNO","KNO - CGK (Domestic)","160","0","160","12.000.000"
"6","2017-03-28","GA 191","KNO","KNO - CGK (Domestic)","157","5","162","11.775.000"
"7","2017-03-28","GA 189","KNO","KNO - CGK (Domestic)","162","0","162","12.150.000"
"8","2017-03-28","GA 187","KNO","KNO - CGK (Domestic)","159","1","160","11.925.000"
"9","2017-03-28","GA 185","KNO","KNO - CGK (Domestic)","161","3","164","12.075.000"
"10","2017-03-28","GA 183","KNO","KNO - CGK (Domestic)","145","0","145","10.875.000"
"11","2017-03-28","GA 181","KNO","KNO - CGK (Domestic)","135","2","137","10.125.000"
"12","2017-03-28","GA 123","KNO","KNO - CGK (Domestic)","153","1","154","11.475.000"
"13","2017-03-28","GA 7134","KNO","KNO - FLZ (Domestic)","47","23","70","3.525.000"
"14","2017-03-28","GA 7116","KNO","KNO - GNS (Domestic)","63","2","65","4.725.000"
"15","2017-03-28","GA 266","KNO","KNO - PLM (Domestic)","47","0","47","3.525.000"
"Total"," "," "," "," ","1.938","54","1.992","145.350.000"
