"No.","Flight Date","Flight No.","Airport","Route","Paying Pax","Non-Paying Pax","Total Pax","PSC (IDR)"
"1","2017-03-17","GA 648","CGK3","CGK3 - ? (Domestic)","98","5","103","12.740.000"
"2","2017-03-17","GA 646","CGK3","CGK3 - AMQ (Domestic)","89","7","96","120.000"
"3","2017-03-17","GA 536","CGK3","CGK3 - BDJ (Domestic)","56","6","62","7.280.000"
"4","2017-03-17","GA 538","CGK3","CGK3 - BDJ (Domestic)","65","8","73","8.450.000"
"5","2017-03-17","GA 530","CGK3","CGK3 - BDJ (Domestic)","110","0","110","14.300.000"
"6","2017-03-17","GA 532","CGK3","CGK3 - BDJ (Domestic)","90","7","97","11.700.000"
"7","2017-03-17","GA 534","CGK3","CGK3 - BDJ (Domestic)","100","3","103","13.000.000"
"8","2017-03-17","GA 528","CGK3","CGK3 - BDJ (Domestic)","61","17","78","7.930.000"
"9","2017-03-17","GA 298","CGK3","CGK3 - BKS (Domestic)","71","31","102","9.230.000"
"10","2017-03-17","GA 296","CGK3","CGK3 - BKS (Domestic)","68","4","72","8.840.000"
"11","2017-03-17","GA 566","CGK3","CGK3 - BPN (Domestic)","47","26","73","6.110.000"
"12","2017-03-17","GA 568","CGK3","CGK3 - BPN (Domestic)","90","8","98","11.700.000"
"13","2017-03-17","GA 572","CGK3","CGK3 - BPN (Domestic)","109","4","113","14.170.000"
"14","2017-03-17","GA 570","CGK3","CGK3 - BPN (Domestic)","85","5","90","11.050.000"
"15","2017-03-17","GA 562","CGK3","CGK3 - BPN (Domestic)","80","0","80","10.400.000"
"16","2017-03-17","GA 560","CGK3","CGK3 - BPN (Domestic)","79","1","80","10.270.000"
"17","2017-03-17","GA 564","CGK3","CGK3 - BPN (Domestic)","104","11","115","13.520.000"
"18","2017-03-17","GA 576","CGK3","CGK3 - BPN (Domestic)","73","16","89","9.490.000"
"19","2017-03-17","GA 150","CGK3","CGK3 - BTH (Domestic)","119","0","119","15.470.000"
"20","2017-03-17","GA 152","CGK3","CGK3 - BTH (Domestic)","101","15","116","13.130.000"
"21","2017-03-17","GA 154","CGK3","CGK3 - BTH (Domestic)","99","6","105","12.870.000"
"22","2017-03-17","GA 158","CGK3","CGK3 - BTH (Domestic)","117","16","133","15.210.000"
"23","2017-03-17","GA 156","CGK3","CGK3 - BTH (Domestic)","92","13","105","11.960.000"
"24","2017-03-17","GA 142","CGK3","CGK3 - BTJ (Domestic)","80","38","118","10.400.000"
"25","2017-03-17","GA 146","CGK3","CGK3 - BTJ (Domestic)","85","24","109","11.050.000"
"26","2017-03-17","GA 140","CGK3","CGK3 - BTJ (Domestic)","99","0","99","12.870.000"
"27","2017-03-17","GA 128","CGK3","CGK3 - DJB (Domestic)","104","15","119","13.520.000"
"28","2017-03-17","GA 126","CGK3","CGK3 - DJB (Domestic)","55","22","77","7.150.000"
"29","2017-03-17","GA 130","CGK3","CGK3 - DJB (Domestic)","66","0","66","8.580.000"
"30","2017-03-17","GA 132","CGK3","CGK3 - DJB (Domestic)","69","16","85","8.970.000"
"31","2017-03-17","GA 134","CGK3","CGK3 - DJB (Domestic)","115","10","125","14.950.000"
"32","2017-03-17","GA 656","CGK3","CGK3 - DJJ (Domestic)","97","11","108","12.610.000"
"33","2017-03-17","GA 420","CGK3","CGK3 - DPS (Domestic)","150","12","162","19.500.000"
"34","2017-03-17","GA 652","CGK3","CGK3 - DPS (Domestic)","121","3","124","15.730.000"
"35","2017-03-17","GA 414","CGK3","CGK3 - DPS (Domestic)","154","7","161","20.020.000"
"36","2017-03-17","GA 418","CGK3","CGK3 - DPS (Domestic)","204","6","210","25.740.000"
"37","2017-03-17","GA 426","CGK3","CGK3 - DPS (Domestic)","198","13","211","25.740.000"
"38","2017-03-17","GA 424","CGK3","CGK3 - DPS (Domestic)","139","10","149","18.070.000"
