"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-03-06,"GA 501","PNK-CGK","71 ",0,71
2017-03-06,"GA 515","PNK-CGK","30 ",6,36
2017-03-06,"GA 513","PNK-CGK","58 ",19,77
2017-03-06,"GA 511","PNK-CGK","39 ",2,41
2017-03-06,"GA 507","PNK-CGK","79 ",11,90
2017-03-06,"GA 505","PNK-CGK","76 ",3,79
2017-03-06,"GA 503","PNK-CGK","74 ",1,75
2017-03-06,"GA 7528","PNK-KTG","39 ",0,39
2017-03-06,"GA 7532","PNK-KTG","22 ",10,32
2017-03-06,"GA 7536","PNK-KTG","46 ",9,55
2017-03-06,"GA 7523","PNK-PKY","24 ",3,27
2017-03-06,"GA 7524","PNK-PSU","40 ",16,56
2017-03-06,"GA 7534","PNK-SQG","16 ",11,27
