"No.","Flight Date","Flight No.","Airport","Route","Paying Pax","Non-Paying Pax","Total Pax","PSC (IDR)"
"1","2017-03-29","GA 648","CGK3","CGK3 - ? (Domestic)","139","8","147","18.070.000"
"2","2017-03-29","GA 646","CGK3","CGK3 - AMQ (Domestic)","96","3","99","120.000"
"3","2017-03-29","GA 538","CGK3","CGK3 - BDJ (Domestic)","100","6","106","13.000.000"
"4","2017-03-29","GA 528","CGK3","CGK3 - BDJ (Domestic)","92","37","129","11.960.000"
"5","2017-03-29","GA 532","CGK3","CGK3 - BDJ (Domestic)","127","24","151","16.510.000"
"6","2017-03-29","GA 536","CGK3","CGK3 - BDJ (Domestic)","108","18","126","14.040.000"
"7","2017-03-29","GA 530","CGK3","CGK3 - BDJ (Domestic)","155","3","158","20.150.000"
"8","2017-03-29","GA 534","CGK3","CGK3 - BDJ (Domestic)","74","36","110","9.620.000"
"9","2017-03-29","GA 298","CGK3","CGK3 - BKS (Domestic)","53","24","77","6.890.000"
"10","2017-03-29","GA 296","CGK3","CGK3 - BKS (Domestic)","117","2","119","15.210.000"
"11","2017-03-29","GA 564","CGK3","CGK3 - BPN (Domestic)","147","9","156","19.110.000"
"12","2017-03-29","GA 566","CGK3","CGK3 - BPN (Domestic)","97","10","107","12.610.000"
"13","2017-03-29","GA 568","CGK3","CGK3 - BPN (Domestic)","103","15","118","13.390.000"
"14","2017-03-29","GA 570","CGK3","CGK3 - BPN (Domestic)","130","19","149","16.900.000"
"15","2017-03-29","GA 560","CGK3","CGK3 - BPN (Domestic)","133","0","133","17.290.000"
"16","2017-03-29","GA 576","CGK3","CGK3 - BPN (Domestic)","140","3","143","18.200.000"
"17","2017-03-29","GA 572","CGK3","CGK3 - BPN (Domestic)","135","9","144","17.550.000"
"18","2017-03-29","GA 562","CGK3","CGK3 - BPN (Domestic)","124","0","124","16.120.000"
"19","2017-03-29","GA 150","CGK3","CGK3 - BTH (Domestic)","153","4","157","19.890.000"
"20","2017-03-29","GA 158","CGK3","CGK3 - BTH (Domestic)","121","27","148","15.730.000"
"21","2017-03-29","GA 152","CGK3","CGK3 - BTH (Domestic)","152","9","161","19.760.000"
"22","2017-03-29","GA 156","CGK3","CGK3 - BTH (Domestic)","123","28","151","15.990.000"
