"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-03-01,"GA 7132",PLM-BKS,"38 ",0,38
2017-03-01,"GA 7132",PLM-BKS,"38 ",0,38
2017-03-01,"GA 119",PLM-CGK,"146 ",0,146
2017-03-01,"GA 119",PLM-CGK,"146 ",0,146
2017-03-01,"GA 115",PLM-CGK,"138 ",0,138
2017-03-01,"GA 115",PLM-CGK,"138 ",0,138
2017-03-01,"GA 113",PLM-CGK,"155 ",0,155
2017-03-01,"GA 113",PLM-CGK,"155 ",0,155
2017-03-01,"GA 111",PLM-CGK,"136 ",0,136
2017-03-01,"GA 111",PLM-CGK,"136 ",0,136
2017-03-01,"GA 109",PLM-CGK,"152 ",1,153
2017-03-01,"GA 109",PLM-CGK,"152 ",1,153
2017-03-01,"GA 101",PLM-CGK,"152 ",0,152
2017-03-01,"GA 101",PLM-CGK,"152 ",0,152
2017-03-01,"GA 103",PLM-CGK,"152 ",0,152
2017-03-01,"GA 103",PLM-CGK,"152 ",0,152
2017-03-01,"GA 105",PLM-CGK,"120 ",1,121
2017-03-01,"GA 105",PLM-CGK,"120 ",1,121
2017-03-01,"GA 107",PLM-CGK,"150 ",0,150
2017-03-01,"GA 107",PLM-CGK,"150 ",0,150
2017-03-01,"GA 7114",PLM-DJB,"63 ",2,65
2017-03-01,"GA 7114",PLM-DJB,"63 ",2,65
2017-03-01,"GA 266",PLM-DPS,"59 ",20,79
2017-03-01,"GA 266",PLM-DPS,"59 ",20,79
2017-03-01,"GA 267",PLM-KNO,"92 ",1,93
2017-03-01,"GA 267",PLM-KNO,"92 ",1,93
2017-03-01,"GA 7126",PLM-PGK,"70 ",0,70
2017-03-01,"GA 7126",PLM-PGK,"70 ",0,70
2017-03-01,"GA 7128",PLM-TKG,"32 ",0,32
2017-03-01,"GA 7128",PLM-TKG,"32 ",0,32
