"No.","Flight Date","Flight No.","Airport","Route","Paying Pax","Non-Paying Pax","Total Pax","PSC (IDR)"
"1","2017-03-12","GA 648","CGK3","CGK3 - ? (Domestic)","133","5","138","17.290.000"
"2","2017-03-12","GA 646","CGK3","CGK3 - AMQ (Domestic)","86","10","96","11.180.000"
"3","2017-03-12","GA 534","CGK3","CGK3 - BDJ (Domestic)","118","8","126","15.340.000"
"4","2017-03-12","GA 538","CGK3","CGK3 - BDJ (Domestic)","69","9","78","8.970.000"
"5","2017-03-12","GA 528","CGK3","CGK3 - BDJ (Domestic)","73","25","98","9.490.000"
"6","2017-03-12","GA 530","CGK3","CGK3 - BDJ (Domestic)","52","0","52","6.760.000"
"7","2017-03-12","GA 532","CGK3","CGK3 - BDJ (Domestic)","91","26","117","11.830.000"
"8","2017-03-12","GA 536","CGK3","CGK3 - BDJ (Domestic)","76","12","88","9.880.000"
"9","2017-03-12","GA 298","CGK3","CGK3 - BKS (Domestic)","63","42","105","8.190.000"
"10","2017-03-12","GA 296","CGK3","CGK3 - BKS (Domestic)","45","1","46","5.850.000"
"11","2017-03-12","GA 560","CGK3","CGK3 - BPN (Domestic)","43","1","44","5.590.000"
"12","2017-03-12","GA 562","CGK3","CGK3 - BPN (Domestic)","44","1","45","5.720.000"
"13","2017-03-12","GA 564","CGK3","CGK3 - BPN (Domestic)","98","15","113","12.740.000"
"14","2017-03-12","GA 570","CGK3","CGK3 - BPN (Domestic)","71","18","89","9.230.000"
"15","2017-03-12","GA 568","CGK3","CGK3 - BPN (Domestic)","112","22","134","14.560.000"
"16","2017-03-12","GA 576","CGK3","CGK3 - BPN (Domestic)","121","5","126","15.730.000"
"17","2017-03-12","GA 572","CGK3","CGK3 - BPN (Domestic)","139","5","144","18.070.000"
"18","2017-03-12","GA 566","CGK3","CGK3 - BPN (Domestic)","94","8","102","12.220.000"
"19","2017-03-12","GA 150","CGK3","CGK3 - BTH (Domestic)","29","0","29","3.770.000"
"20","2017-03-12","GA 152","CGK3","CGK3 - BTH (Domestic)","98","28","126","12.740.000"
"21","2017-03-12","GA 154","CGK3","CGK3 - BTH (Domestic)","111","18","129","14.430.000"
"22","2017-03-12","GA 158","CGK3","CGK3 - BTH (Domestic)","133","7","140","17.290.000"
"23","2017-03-12","GA 156","CGK3","CGK3 - BTH (Domestic)","97","32","129","12.610.000"
"24","2017-03-12","GA 146","CGK3","CGK3 - BTJ (Domestic)","107","18","125","13.910.000"
"25","2017-03-12","GA 142","CGK3","CGK3 - BTJ (Domestic)","125","25","150","16.250.000"
"26","2017-03-12","GA 140","CGK3","CGK3 - BTJ (Domestic)","81","1","82","10.530.000"
"27","2017-03-12","GA 134","CGK3","CGK3 - DJB (Domestic)","125","21","146","16.250.000"
"28","2017-03-12","GA 132","CGK3","CGK3 - DJB (Domestic)","85","14","99","11.050.000"
"29","2017-03-12","GA 130","CGK3","CGK3 - DJB (Domestic)","13","0","13","1.690.000"
"30","2017-03-12","GA 128","CGK3","CGK3 - DJB (Domestic)","119","30","149","15.470.000"
"31","2017-03-12","GA 126","CGK3","CGK3 - DJB (Domestic)","47","11","58","6.110.000"
"32","2017-03-12","GA 656","CGK3","CGK3 - DJJ (Domestic)","124","10","134","16.120.000"
"33","2017-03-12","GA 652","CGK3","CGK3 - DPS (Domestic)","61","5","66","120.000"
"34","2017-03-12","GA 438","CGK3","CGK3 - DPS (Domestic)","65","2","67","8.450.000"
"35","2017-03-12","GA 4264","CGK3","CGK3 - DPS (Domestic)","81","0","81","10.530.000"
"36","2017-03-12","GA 422","CGK3","CGK3 - DPS (Domestic)","162","24","186","21.060.000"
"37","2017-03-12","GA 420","CGK3","CGK3 - DPS (Domestic)","76","12","88","9.880.000"
"38","2017-03-12","GA 426","CGK3","CGK3 - DPS (Domestic)","122","9","131","15.860.000"
"39","2017-03-12","GA 424","CGK3","CGK3 - DPS (Domestic)","69","5","74","8.970.000"
"40","2017-03-12","GA 418","CGK3","CGK3 - DPS (Domestic)","155","1","156","20.150.000"
"41","2017-03-12","GA 414","CGK3","CGK3 - DPS (Domestic)","77","20","97","10.010.000"
"42","2017-03-12","GA 410","CGK3","CGK3 - DPS (Domestic)","151","14","165","19.370.000"
"43","2017-03-12","GA 408","CGK3","CGK3 - DPS (Domestic)","89","6","95","11.570.000"
"44","2017-03-12","GA 404","CGK3","CGK3 - DPS (Domestic)","88","9","97","11.440.000"
"45","2017-03-12","GA 402","CGK3","CGK3 - DPS (Domestic)","97","4","101","12.350.000"
"46","2017-03-12","GA 400","CGK3","CGK3 - DPS (Domestic)","83","0","83","10.530.000"
"47","2017-03-12","GA 412","CGK3","CGK3 - DPS (Domestic)","219","18","237","20.540.000"
"48","2017-03-12","GA 214","CGK3","CGK3 - JOG (Domestic)","136","11","147","17.680.000"
"49","2017-03-12","GA 218","CGK3","CGK3 - JOG (Domestic)","96","47","143","12.480.000"
"50","2017-03-12","GA 216","CGK3","CGK3 - JOG (Domestic)","140","13","153","18.200.000"
"51","2017-03-12","GA 212","CGK3","CGK3 - JOG (Domestic)","110","36","146","14.300.000"
"52","2017-03-12","GA 210","CGK3","CGK3 - JOG (Domestic)","79","41","120","10.270.000"
