"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-04-03,"GA 270","KNO-BTH
(Domestic)","55 ",1,56
2017-04-03,"GA 121","KNO-CGK
(Domestic)","149 ",8,157
2017-04-03,"GA 197","KNO-CGK
(Domestic)","154 ",0,154
2017-04-03,"GA 193","KNO-CGK
(Domestic)","137 ",2,139
2017-04-03,"GA 191","KNO-CGK
(Domestic)","158 ",2,160
2017-04-03,"GA 189","KNO-CGK
(Domestic)","162 ",1,163
2017-04-03,"GA 187","KNO-CGK
(Domestic)","156 ",0,156
2017-04-03,"GA 185","KNO-CGK
(Domestic)","155 ",1,156
2017-04-03,"GA 183","KNO-CGK
(Domestic)","160 ",2,162
2017-04-03,"GA 181","KNO-CGK
(Domestic)","148 ",0,148
2017-04-03,"GA 123","KNO-CGK
(Domestic)","150 ",0,150
2017-04-03,"GA 7116","KNO-CGK
(Domestic)","62 ",2,64
2017-04-03,"GA 7134","KNO-FLZ
(Domestic)","36 ",4,40
2017-04-03,"GA 7116","KNO-GNS
(Domestic)","51 ",2,53
2017-04-03,"GA 266","KNO-PLM
(Domestic)","75 ",1,76
2017-04-03,"GA 7112D","KNO-SBG
(Domestic)","29 ",11,40
2017-04-03,"GA 850","KNO-SIN
(International)","91 ",4,95
2017-04-03,"MH 865","KNO-KUL
(International)","123 ",1,124
2017-04-03,"MI 233","KNO-SIN
(International)","99 ",0,99
2017-04-03,"MI 237","KNO-SIN
(International)","120 ",1,121
2017-04-03,"KNO-MED
(International)","327 ",0,327
