"No.","Flight Date","Flight No.","Airport","Route","Paying Pax","Non-Paying Pax","Total Pax","PSC (IDR)"
"1","2017-03-15","GA 648","CGK3","CGK3 - ? (Domestic)","67","3","70","8.710.000"
"2","2017-03-15","GA 646","CGK3","CGK3 - AMQ (Domestic)","115","3","118","14.950.000"
"3","2017-03-15","GA 534","CGK3","CGK3 - BDJ (Domestic)","86","6","92","11.180.000"
"4","2017-03-15","GA 538","CGK3","CGK3 - BDJ (Domestic)","54","4","58","7.020.000"
"5","2017-03-15","GA 528","CGK3","CGK3 - BDJ (Domestic)","102","7","109","13.260.000"
"6","2017-03-15","GA 530","CGK3","CGK3 - BDJ (Domestic)","150","0","150","19.500.000"
"7","2017-03-15","GA 532","CGK3","CGK3 - BDJ (Domestic)","140","4","144","18.200.000"
"8","2017-03-15","GA 536","CGK3","CGK3 - BDJ (Domestic)","89","4","93","11.570.000"
"9","2017-03-15","GA 298","CGK3","CGK3 - BKS (Domestic)","107","30","137","13.910.000"
"10","2017-03-15","GA 296","CGK3","CGK3 - BKS (Domestic)","99","2","101","12.870.000"
"11","2017-03-15","GA 562","CGK3","CGK3 - BPN (Domestic)","118","1","119","15.340.000"
"12","2017-03-15","GA 564","CGK3","CGK3 - BPN (Domestic)","185","15","200","24.050.000"
"13","2017-03-15","GA 560","CGK3","CGK3 - BPN (Domestic)","113","0","113","14.690.000"
"14","2017-03-15","GA 570","CGK3","CGK3 - BPN (Domestic)","103","29","132","13.390.000"
"15","2017-03-15","GA 568","CGK3","CGK3 - BPN (Domestic)","101","35","136","13.130.000"
"16","2017-03-15","GA 576","CGK3","CGK3 - BPN (Domestic)","123","20","143","15.990.000"
"17","2017-03-15","GA 572","CGK3","CGK3 - BPN (Domestic)","125","9","134","16.250.000"
"18","2017-03-15","GA 566","CGK3","CGK3 - BPN (Domestic)","108","12","120","14.040.000"
"19","2017-03-15","GA 150","CGK3","CGK3 - BTH (Domestic)","153","1","154","19.890.000"
"20","2017-03-15","GA 152","CGK3","CGK3 - BTH (Domestic)","109","46","155","14.170.000"
"21","2017-03-15","GA 154","CGK3","CGK3 - BTH (Domestic)","116","39","155","15.080.000"
"22","2017-03-15","GA 158","CGK3","CGK3 - BTH (Domestic)","127","27","154","16.510.000"
"23","2017-03-15","GA 156","CGK3","CGK3 - BTH (Domestic)","128","25","153","16.640.000"
"24","2017-03-15","GA 146","CGK3","CGK3 - BTJ (Domestic)","100","44","144","13.000.000"
"25","2017-03-15","GA 142","CGK3","CGK3 - BTJ (Domestic)","109","12","121","14.170.000"
"26","2017-03-15","GA 140","CGK3","CGK3 - BTJ (Domestic)","107","2","109","13.910.000"
"27","2017-03-15","GA 134","CGK3","CGK3 - DJB (Domestic)","103","20","123","13.390.000"
"28","2017-03-15","GA 132","CGK3","CGK3 - DJB (Domestic)","53","9","62","6.890.000"
"29","2017-03-15","GA 130","CGK3","CGK3 - DJB (Domestic)","75","2","77","9.750.000"
"30","2017-03-15","GA 128","CGK3","CGK3 - DJB (Domestic)","74","20","94","9.620.000"
"31","2017-03-15","GA 126","CGK3","CGK3 - DJB (Domestic)","95","14","109","12.350.000"
"32","2017-03-15","GA 656","CGK3","CGK3 - DJJ (Domestic)","134","14","148","17.420.000"
"33","2017-03-15","GA 652","CGK3","CGK3 - DPS (Domestic)","66","10","76","8.580.000"
"34","2017-03-15","GA 438","CGK3","CGK3 - DPS (Domestic)","151","0","151","19.630.000"
"35","2017-03-15","GA 4264","CGK3","CGK3 - DPS (Domestic)","183","8","191","23.790.000"
"36","2017-03-15","GA 420","CGK3","CGK3 - DPS (Domestic)","104","6","110","13.520.000"
"37","2017-03-15","GA 422","CGK3","CGK3 - DPS (Domestic)","172","16","188","21.060.000"
"38","2017-03-15","GA 426","CGK3","CGK3 - DPS (Domestic)","153","3","156","19.890.000"
"39","2017-03-15","GA 424","CGK3","CGK3 - DPS (Domestic)","61","10","71","7.930.000"
"40","2017-03-15","GA 414","CGK3","CGK3 - DPS (Domestic)","96","13","109","12.480.000"
"41","2017-03-15","GA 412","CGK3","CGK3 - DPS (Domestic)","197","8","205","1.860.000"
"42","2017-03-15","GA 410","CGK3","CGK3 - DPS (Domestic)","190","35","225","24.700.000"
"43","2017-03-15","GA 408","CGK3","CGK3 - DPS (Domestic)","121","15","136","15.730.000"
"44","2017-03-15","GA 404","CGK3","CGK3 - DPS (Domestic)","161","1","162","20.930.000"
"45","2017-03-15","GA 402","CGK3","CGK3 - DPS (Domestic)","126","4","130","16.380.000"
"46","2017-03-15","GA 400","CGK3","CGK3 - DPS (Domestic)","113","0","113","14.690.000"
"47","2017-03-15","GA 418","CGK3","CGK3 - DPS (Domestic)","173","4","177","480.000"
"48","2017-03-15","GA 262","CGK3","CGK3 - FLZ (Domestic)","72","13","85","9.360.000"
"49","2017-03-15","GA 218","CGK3","CGK3 - JOG (Domestic)","114","31","145","14.820.000"
"50","2017-03-15","GA 214","CGK3","CGK3 - JOG (Domestic)","133","26","159","17.290.000"
"51","2017-03-15","GA 216","CGK3","CGK3 - JOG (Domestic)","142","19","161","18.330.000"
"52","2017-03-15","GA 212","CGK3","CGK3 - JOG (Domestic)","117","41","158","15.210.000"
"53","2017-03-15","GA 210","CGK3","CGK3 - JOG (Domestic)","122","30","152","15.860.000"
"54","2017-03-15","GA 208","CGK3","CGK3 - JOG (Domestic)","72","60","132","9.230.000"
"55","2017-03-15","GA 206","CGK3","CGK3 - JOG (Domestic)","152","6","158","19.760.000"
"56","2017-03-15","GA 204","CGK3","CGK3 - JOG (Domestic)","154","2","156","20.020.000"
"57","2017-03-15","GA 202","CGK3","CGK3 - JOG (Domestic)","151","2","153","19.630.000"
"58","2017-03-15","GA 188","CGK3","CGK3 - KNO (Domestic)","104","19","123","13.520.000"
