"No.","Flight Date","Flight No.","Airport","Route","Paying Pax","Non-Paying Pax","Total Pax","PSC (IDR)"
"1","2017-02-25","GA 270","KNO","KNO - BTH (Domestic)","42","0","42","3.150.000"
"2","2017-02-25","GA 121","KNO","KNO - CGK (Domestic)","106","4","110","7.950.000"
"3","2017-02-25","GA 197","KNO","KNO - CGK (Domestic)","130","1","131","9.750.000"
"4","2017-02-25","GA 195","KNO","KNO - CGK (Domestic)","69","1","70","5.175.000"
"5","2017-02-25","GA 193","KNO","KNO - CGK (Domestic)","108","1","109","8.100.000"
"6","2017-02-25","GA 191","KNO","KNO - CGK (Domestic)","109","0","109","8.175.000"
"7","2017-02-25","GA 189","KNO","KNO - CGK (Domestic)","136","22","158","10.200.000"
"8","2017-02-25","GA 123","KNO","KNO - CGK (Domestic)","94","0","94","7.050.000"
"9","2017-02-25","GA 181","KNO","KNO - CGK (Domestic)","84","1","85","6.300.000"
"10","2017-02-25","GA 183","KNO","KNO - CGK (Domestic)","106","1","107","7.950.000"
"11","2017-02-25","GA 187","KNO","KNO - CGK (Domestic)","145","7","152","10.875.000"
"12","2017-02-25","GA 7134","KNO","KNO - FLZ (Domestic)","50","7","57","3.750.000"
"13","2017-02-25","GA 7116","KNO","KNO - GNS (Domestic)","58","1","59","4.350.000"
"14","2017-02-25","GA 7118","KNO","KNO - GNS (Domestic)","46","6","52","3.450.000"
"15","2017-02-25","GA 7124","KNO","KNO - LSW (Domestic)","9","35","44","675.000"
"16","2017-02-25","GA 266","KNO","KNO - PLM (Domestic)","53","1","54","3.975.000"
"17","2017-02-25","GA 850","KNO","KNO - SIN (International)","53","1","54","10.600.000"
"Total"," "," "," "," ","1.398","89","1.487","111.475.000"
