"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-04-16,"GA 270","KNO-BTH
(Domestic)","58 ",2,60
2017-04-16,"GA 121","KNO-CGK
(Domestic)","150 ",15,165
2017-04-16,"GA 197","KNO-CGK
(Domestic)","140 ",2,142
2017-04-16,"GA 195","KNO-CGK
(Domestic)","126 ",10,136
2017-04-16,"GA 193","KNO-CGK
(Domestic)","142 ",15,157
2017-04-16,"GA 191","KNO-CGK
(Domestic)","159 ",2,161
2017-04-16,"GA 189","KNO-CGK
(Domestic)","155 ",5,160
2017-04-16,"GA 187","KNO-CGK
(Domestic)","154 ",3,157
2017-04-16,"GA 185","KNO-CGK
(Domestic)","140 ",12,152
2017-04-16,"GA 183","KNO-CGK
(Domestic)","142 ",1,143
2017-04-16,"GA 181","KNO-CGK
(Domestic)","80 ",1,81
2017-04-16,"GA 123","KNO-CGK
(Domestic)","134 ",2,136
2017-04-16,"GA 7116","KNO-GNS
(Domestic)","61 ",3,64
2017-04-16,"GA 988","KNO-JED
(International)","90 ",129,219
2017-04-16,"GA 7124","KNO-LSW
(Domestic)","38 ",29,67
2017-04-16,"GA 266","KNO-PLM
(Domestic)","57 ",0,57
2017-04-16,"GA 7112","KNO-SBG
(Domestic)","41 ",5,46
2017-04-16,"GA 850","KNO-SIN
(International)","141 ",4,145
2017-04-16,"MH 861","KNO-KUL
(International)","112 ",1,113
2017-04-16,"MH 865","KNO-KUL
(International)","125 ",1,126
2017-04-16,"MI 233","KNO-SIN
(International)","142 ",0,142
2017-04-16,"MI 237","KNO-SIN
(International)","153 ",0,153
