"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-04-14,"GA 501","PNK-CGK","72 ",1,73
2017-04-14,"GA 515","PNK-CGK","32 ",13,45
2017-04-14,"GA 513","PNK-CGK","64 ",14,78
2017-04-14,"GA 511","PNK-CGK","12 ",7,19
2017-04-14,"GA 507","PNK-CGK","56 ",2,58
2017-04-14,"GA 505","PNK-CGK","94 ",1,95
2017-04-14,"GA 503","PNK-CGK","94 ",5,99
2017-04-14,"GA 7532","PNK-KTG","43 ",27,70
2017-04-14,"GA 7523","PNK-PKY","18 ",0,18
2017-04-14,"GA 7524","PNK-PSU","41 ",12,53
2017-04-14,"GA 7534","PNK-SQG","30 ",4,34
