"No.","Flight Date","Flight No.","Airport","Route","Paying Pax","Non-Paying Pax","Total Pax","PSC (IDR)"
"1","2017-03-18","GA 270","KNO","KNO - BTH (Domestic)","79","1","80","5.925.000"
"2","2017-03-18","GA 121","KNO","KNO - CGK (Domestic)","105","23","128","7.875.000"
"3","2017-03-18","GA 197","KNO","KNO - CGK (Domestic)","120","0","120","9.000.000"
"4","2017-03-18","GA 195","KNO","KNO - CGK (Domestic)","48","0","48","3.600.000"
"5","2017-03-18","GA 193","KNO","KNO - CGK (Domestic)","76","0","76","5.700.000"
"6","2017-03-18","GA 191","KNO","KNO - CGK (Domestic)","97","11","108","7.275.000"
"7","2017-03-18","GA 189","KNO","KNO - CGK (Domestic)","112","32","144","8.400.000"
"8","2017-03-18","GA 187","KNO","KNO - CGK (Domestic)","105","1","106","7.875.000"
"9","2017-03-18","GA 123","KNO","KNO - CGK (Domestic)","116","2","118","8.700.000"
"10","2017-03-18","GA 181","KNO","KNO - CGK (Domestic)","108","1","109","8.100.000"
"11","2017-03-18","GA 183","KNO","KNO - CGK (Domestic)","132","4","136","9.900.000"
"12","2017-03-18","GA 185","KNO","KNO - CGK (Domestic)","114","15","129","8.550.000"
"13","2017-03-18","GA 7136","KNO","KNO - DTB (Domestic)","21","4","25","1.575.000"
"14","2017-03-18","GA 7134","KNO","KNO - FLZ (Domestic)","58","5","63","4.350.000"
"15","2017-03-18","GA 7116","KNO","KNO - GNS (Domestic)","67","1","68","5.025.000"
"16","2017-03-18","GA 7118","KNO","KNO - GNS (Domestic)","52","10","62","3.900.000"
"17","2017-03-18","GA 7124","KNO","KNO - LSW (Domestic)","14","44","58","1.050.000"
"18","2017-03-18","GA 266","KNO","KNO - PLM (Domestic)","81","1","82","6.075.000"
"Total"," "," "," "," ","1.505","155","1.660","112.875.000"
