"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-04-07,"GA 270","KNO-BTH
(Domestic)","47 ",3,50
2017-04-07,"GA 123","KNO-CGK
(Domestic)","121 ",0,121
2017-04-07,"GA 197","KNO-CGK
(Domestic)","109 ",2,111
2017-04-07,"GA 195","KNO-CGK
(Domestic)","121 ",12,133
2017-04-07,"GA 193","KNO-CGK
(Domestic)","109 ",37,146
2017-04-07,"GA 191","KNO-CGK
(Domestic)","151 ",1,152
2017-04-07,"GA 189","KNO-CGK
(Domestic)","131 ",30,161
2017-04-07,"GA 187","KNO-CGK
(Domestic)","147 ",1,148
2017-04-07,"GA 185","KNO-CGK
(Domestic)","114 ",7,121
2017-04-07,"GA 183","KNO-CGK
(Domestic)","118 ",0,118
2017-04-07,"GA 181","KNO-CGK
(Domestic)","116 ",0,116
2017-04-07,"GA 7116","KNO-CGK
(Domestic)","61 ",5,66
2017-04-07,"GA 7124","KNO-LSW
(Domestic)","21 ",49,70
2017-04-07,"GA 266","KNO-PLM
(Domestic)","81 ",1,82
2017-04-07,"GA 7112","KNO-SBG
(Domestic)","8 ",14,22
2017-04-07,"GA 850","KNO-SIN
(International)","87 ",0,87
2017-04-07,"MH 861","KNO-KUL
(International)","140 ",0,140
2017-04-07,"MH 865","KNO-KUL
(International)","151 ",2,153
2017-04-07,"MI 233","KNO-SIN
(International)","134 ",0,134
2017-04-07,"MI 237","KNO-SIN
(International)","109 ",1,110
